2. Sheep of all ages,,,47,,48,,49,
a. Sheep less than 6 months ___________________________________,,,50,,51,,52,
b. Sheep 6 months and less than 1 year_____________________________________,,,53,,54,,55,
c. Sheep 1 year and less than 2 years_______________________________________,,,56,,57,,58,
d. Sheep 2 years and older ______________________________________,,,59,,60,,61,
1. Sheep for mutton ______________________________________,,,62,,63,,64,
2. Sheep for wool ______________________________________,,,65,,66,,67,
3. Sheep for breeding ______________________________________,,,68,,69,,70,
4. Sheep for other purposes ______________________________________,,,71,,72,,73,
e. Grand Total ______________________________________,,,74,,75,,76,
1. Local breed ______________________________________,,,77,,78,,79,
2. Exotic ______________________________________,,,80,,81,,82,
3. Hybrid ______________________________________,,,83,,84,,85,
