species;year;table_name
Total Cattle less than 6 months;2003;Number of Cattle by Age and Purpose
Male Cattle less than 6 months;2003;Number of Cattle by Age and Purpose
Female Cattle less than 6 months;2003;Number of Cattle by Age and Purpose
Total Cattle 6 months and less than 1 year;2003;Number of Cattle by Age and Purpose
Male Cattle 6 months and less than 1 year;2003;Number of Cattle by Age and Purpose
Female Cattle 6 months and less than 1 year;2003;Number of Cattle by Age and Purpose
Total Cattle 1 year and less than 3 years;2003;Number of Cattle by Age and Purpose
Male Cattle 1 year and less than 3 years;2003;Number of Cattle by Age and Purpose
Female Cattle 1 year and less than 3 years;2003;Number of Cattle by Age and Purpose
Total Cattle 3 years and less than 10 years;2003;Number of Cattle by Age and Purpose
Male Cattle 3 years and less than 10 years;2003;Number of Cattle by Age and Purpose
Female Cattle 3 years and less than 10 years;2003;Number of Cattle by Age and Purpose
Total Beef Cattle;2003;Number of Cattle by Age and Purpose
Male Beef Cattle;2003;Number of Cattle by Age and Purpose
Female Beef Cattle;2003;Number of Cattle by Age and Purpose
Total Cattle for breeding;2003;Number of Cattle by Age and Purpose
Male Cattle for breeding;2003;Number of Cattle by Age and Purpose
Female Cattle for breeding;2003;Number of Cattle by Age and Purpose
Total Dairy cows;2003;Number of Cattle by Age and Purpose
Total Cows that gave milk for the last 12 months;2003;Number of Cattle by Age and Purpose
Total Draft cattle;2003;Number of Cattle by Age and Purpose
Male Draft cattle;2003;Number of Cattle by Age and Purpose
Female Draft cattle;2003;Number of Cattle by Age and Purpose
Total Cattle for other purposes;2003;Number of Cattle by Age and Purpose
Male Cattle for other purposes;2003;Number of Cattle by Age and Purpose
Female Cattle for other purposes;2003;Number of Cattle by Age and Purpose
Total Cattle 10 years and older;2003;Number of Cattle by Age and Purpose
Male Cattle 10 years and older;2003;Number of Cattle by Age and Purpose
Female Cattle 10 years and older;2003;Number of Cattle by Age and Purpose
Total Grand Total;2003;Number of Cattle by Age and Purpose
Male Grand Total;2003;Number of Cattle by Age and Purpose
Female Grand Total;2003;Number of Cattle by Age and Purpose
Total Local breed;2003;Number of Cattle by Age and Purpose
Male Local breed;2003;Number of Cattle by Age and Purpose
Female Local breed;2003;Number of Cattle by Age and Purpose
Total Exotic;2003;Number of Cattle by Age and Purpose
Male Exotic;2003;Number of Cattle by Age and Purpose
Female Exotic;2003;Number of Cattle by Age and Purpose
Total Cattle less than 6 months;2004;Number of Cattle by Age and Purpose
Male Cattle less than 6 months;2004;Number of Cattle by Age and Purpose
Female Cattle less than 6 months;2004;Number of Cattle by Age and Purpose
Total Cattle 6 months and less than 1 year;2004;Number of Cattle by Age and Purpose
Male Cattle 6 months and less than 1 year;2004;Number of Cattle by Age and Purpose
Female Cattle 6 months and less than 1 year;2004;Number of Cattle by Age and Purpose
Total Cattle 1 year and less than 3 years;2004;Number of Cattle by Age and Purpose
Male Cattle 1 year and less than 3 years;2004;Number of Cattle by Age and Purpose
Female Cattle 1 year and less than 3 years;2004;Number of Cattle by Age and Purpose
Total Cattle 3 years and less than 10 years;2004;Number of Cattle by Age and Purpose
Male Cattle 3 years and less than 10 years;2004;Number of Cattle by Age and Purpose
Female Cattle 3 years and less than 10 years;2004;Number of Cattle by Age and Purpose
Total Beef Cattle;2004;Number of Cattle by Age and Purpose
Male Beef Cattle;2004;Number of Cattle by Age and Purpose
Female Beef Cattle;2004;Number of Cattle by Age and Purpose
Total Cattle for breeding;2004;Number of Cattle by Age and Purpose
Male Cattle for breeding;2004;Number of Cattle by Age and Purpose
Female Cattle for breeding;2004;Number of Cattle by Age and Purpose
Total Dairy cows;2004;Number of Cattle by Age and Purpose
Total Cows that gave milk for the last 12 months;2004;Number of Cattle by Age and Purpose
Total Draft cattle;2004;Number of Cattle by Age and Purpose
Male Draft cattle;2004;Number of Cattle by Age and Purpose
Female Draft cattle;2004;Number of Cattle by Age and Purpose
Total Cattle for other purposes;2004;Number of Cattle by Age and Purpose
Male Cattle for other purposes;2004;Number of Cattle by Age and Purpose
Female Cattle for other purposes;2004;Number of Cattle by Age and Purpose
Total Cattle 10 years and older;2004;Number of Cattle by Age and Purpose
Male Cattle 10 years and older;2004;Number of Cattle by Age and Purpose
Female Cattle 10 years and older;2004;Number of Cattle by Age and Purpose
Total Grand Total;2004;Number of Cattle by Age and Purpose
Male Grand Total;2004;Number of Cattle by Age and Purpose
Female Grand Total;2004;Number of Cattle by Age and Purpose
Total Local breed;2004;Number of Cattle by Age and Purpose
Male Local breed;2004;Number of Cattle by Age and Purpose
Female Local breed;2004;Number of Cattle by Age and Purpose
Total Exotic;2004;Number of Cattle by Age and Purpose
Male Exotic;2004;Number of Cattle by Age and Purpose
Female Exotic;2004;Number of Cattle by Age and Purpose
Total Cattle less than 6 months;2005;Number of Cattle by Age and Purpose
Male Cattle less than 6 months;2005;Number of Cattle by Age and Purpose
Female Cattle less than 6 months;2005;Number of Cattle by Age and Purpose
Total Cattle 6 months and less than 1 year;2005;Number of Cattle by Age and Purpose
Male Cattle 6 months and less than 1 year;2005;Number of Cattle by Age and Purpose
Female Cattle 6 months and less than 1 year;2005;Number of Cattle by Age and Purpose
Total Cattle 1 year and less than 3 years;2005;Number of Cattle by Age and Purpose
Male Cattle 1 year and less than 3 years;2005;Number of Cattle by Age and Purpose
Female Cattle 1 year and less than 3 years;2005;Number of Cattle by Age and Purpose
Total Cattle 3 years and less than 10 years;2005;Number of Cattle by Age and Purpose
Male Cattle 3 years and less than 10 years;2005;Number of Cattle by Age and Purpose
Female Cattle 3 years and less than 10 years;2005;Number of Cattle by Age and Purpose
