animals,month,unit,geo\time	2022 	2021 	2020 	2019 	2018 	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 	1999 	1998 	1997 	1996 	1995 	1994 	1993 	1992 	1991 	1990 	1989 	1988 	1987 	1986 	1985 	1984 	1983 	1982 	1981 	1980 	1979 	1978 	1977 	1976 	1975 	1974 	1973 	1972 	1971 	1970 	1969 	1968 	1967 	1966 	1965 	1964 	1963 	1962 	1961 	1960 	1959 
A2000,M05_M06,THS_HD,AT	1842.17 	1846.42 	1844.34 	1873.31 	1906.82 	1938.48 	1932.53 	1949.93 	1936.93 	1939.41 	1957.39 	1981.57 	2019.12 	2012.76 	1990.68 	1998.13 	2002.14 	2008.41 	2046.55 	2052.84 	2094.16 	2162.98 	2156.79 	2169.68 	2187.24 	2238.19 	2319.65 	2317.90 	2337.23 	2350.54 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A2000,M05_M06,THS_HD,BE	: 	2353.42 	2387.91 	2406.17 	2449.74 	2454.10 	2554.76 	2531.08 	2520.77 	2432.53 	2484.27 	2560.32 	2592.63 	2600.45 	2605.53 	2649.39 	2663.08 	2694.66 	2746.03 	2778.08 	2891.26 	3038.74 	3041.57 	3085.17 	3089.91 	3157.00 	3242.60 	3286.18 	3251.96 	3231.07 	3222.00 	3264.16 	3248.78 	3126.84 	3070.62 	3079.14 	3060.08 	3093.20 	3122.53 	3086.03 	3024.60 	3014.05 	3053.55 	3058.44 	2999.79 	2987.00 	2979.00 	2999.00 	3047.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A2000,M05_M06,THS_HD,BG	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	641.28 	: 	701.00 	676.80 	667.20 	694.80 	: 	687.00 	688.00 	623.00 	682.00 	666.00 	676.00 	930.00 	1224.00 	1459.00 	1564.00 	1620.00 	1676.00 	1715.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A2000,M05_M06,THS_HD,CH	: 	1521.06 	1518.79 p	1528.52 	1528.92 	1553.15 	1553.15 	1563.30 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A2000,M05_M06,THS_HD,CZ	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1414.02 	1402.88 	1423.85 	1386.90 	1431.60 	1470.00 	1491.00 	1517.00 	1487.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A2000,M05_M06,THS_HD,DE	10986.30 	11176.24 	11423.46 	11763.43 	12093.38 	12365.50 	12563.18 	12653.07 	12702.05 	12587.02 	12477.39 	12562.60 	12809.49 	12944.90 	12969.67 	12686.64 	12747.88 	13034.47 	13195.81 	13643.70 	13988.29 	14603.09 	14537.93 	14895.81 	15169.75 	15612.23 	15965.01 	16097.87 	16022.86 	16150.72 	16775.48 	18455.63 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A2000,M05_M06,THS_HD,DK	1484.00 	1503.00 	1517.00 	1512.00 	1560.00 	1565.00 	1583.00 	1568.00 	1585.00 	1603.00 	1629.00 	1645.00 	1642.00 	1621.00 	1576.00 	1556.00 	1577.00 	1544.00 	1646.00 	1724.00 	1796.00 	1907.00 	1868.00 	1887.00 	1977.00 	2003.00 	2094.00 	2089.00 	2106.00 	2195.00 	2190.00 	2222.00 	2239.00 	2221.00 	2262.00 	2358.00 	2494.00 	2618.00 	2750.00 	2852.00 	2873.00 	2914.00 	2961.00 	3035.00 	3081.00 	3099.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A2000,M05_M06,THS_HD,EE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	257.20 	273.20 	282.90 	281.10 	323.40 	345.00 	371.90 	399.20 	423.80 	475.80 	547.50 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A2000,M05_M06,THS_HD,EL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	577.00 	596.00 	593.00 	573.00 	539.00 	629.00 	645.00 	685.00 	709.75 	721.48 	786.17 	793.00 	789.00 	796.80 	793.86 	832.49 	849.50 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A2000,M05_M06,THS_HD,ES	: 	6922.95 	6714.97 p	6721.90 	6724.58 	6588.11 	6451.22 	6233.86 	6008.26 	5821.97 	6003.03 	6047.60 	6276.91 	6008.83 	6440.93 	6462.08 	6410.00 	6363.87 	6527.00 	6722.50 	6548.81 	6253.00 	6028.72 	6163.00 	6249.00 	5950.00 	5947.00 	5614.00 	5202.67 	5044.27 	5107.27 	5328.90 	5057.54 	5135.75 	5152.71 	4982.30 	4903.96 	4983.80 	4982.40 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
