animals,unit,geo,year,population
"Live horses, asses, mules and hinnies",Thousand heads (animals),Albania,1997,232.000 
"Live horses, asses, mules and hinnies",Thousand heads (animals),Belgium,1997,: 
"Live horses, asses, mules and hinnies",Thousand heads (animals),Bulgaria,1997,126.000 
"Live horses, asses, mules and hinnies",Thousand heads (animals),Czechia,1997,20.000 
"Live horses, asses, mules and hinnies",Thousand heads (animals),Germany (until 1990 former territory of the FRG),1997,: 
"Live horses, asses, mules and hinnies",Thousand heads (animals),Federal Republic of Germany (former territory of the FRG only),1997,: 
"Live horses, asses, mules and hinnies",Thousand heads (animals),Denmark,1997,: 
"Live horses, asses, mules and hinnies",Thousand heads (animals),Greece,1997,: 
"Live horses, asses, mules and hinnies",Thousand heads (animals),Spain,1997,: 
"Live horses, asses, mules and hinnies",Thousand heads (animals),European Community - 10 countries (1981-1985),1997,: 
"Live horses, asses, mules and hinnies",Thousand heads (animals),European Community - 12 countries (1986-1994),1997,: 
"Live horses, asses, mules and hinnies",Thousand heads (animals),European Community - 9 countries (1973-1980),1997,: 
"Live horses, asses, mules and hinnies",Thousand heads (animals),France,1997,: 
"Live horses, asses, mules and hinnies",Thousand heads (animals),Croatia,1997,8.000 
"Live horses, asses, mules and hinnies",Thousand heads (animals),Hungary,1997,: 
"Live horses, asses, mules and hinnies",Thousand heads (animals),Ireland,1997,: 
"Live horses, asses, mules and hinnies",Thousand heads (animals),Italy,1997,: 
"Live horses, asses, mules and hinnies",Thousand heads (animals),Lithuania,1997,81.800 
"Live horses, asses, mules and hinnies",Thousand heads (animals),Luxembourg,1997,: 
"Live horses, asses, mules and hinnies",Thousand heads (animals),Latvia,1997,23.300 
"Live horses, asses, mules and hinnies",Thousand heads (animals),North Macedonia,1997,66.000 
"Live horses, asses, mules and hinnies",Thousand heads (animals),Netherlands,1997,: 
"Live horses, asses, mules and hinnies",Thousand heads (animals),Poland,1997,557.900 
"Live horses, asses, mules and hinnies",Thousand heads (animals),Portugal,1997,: 
"Live horses, asses, mules and hinnies",Thousand heads (animals),Romania,1997,822.000 
"Live horses, asses, mules and hinnies",Thousand heads (animals),Slovenia,1997,: 
"Live horses, asses, mules and hinnies",Thousand heads (animals),Slovakia,1997,10.000 
"Live horses, asses, mules and hinnies",Thousand heads (animals),United Kingdom,1997,: 
Live horses,Thousand heads (animals),Belgium,1997,: 
Live horses,Thousand heads (animals),Germany (until 1990 former territory of the FRG),1997,: 
Live horses,Thousand heads (animals),Denmark,1997,: 
Live horses,Thousand heads (animals),Greece,1997,: 
Live horses,Thousand heads (animals),Spain,1997,: 
Live horses,Thousand heads (animals),European Community - 12 countries (1986-1994),1997,: 
Live horses,Thousand heads (animals),France,1997,: 
Live horses,Thousand heads (animals),Ireland,1997,: 
Live horses,Thousand heads (animals),Italy,1997,: 
Live horses,Thousand heads (animals),Luxembourg,1997,: 
Live horses,Thousand heads (animals),Netherlands,1997,: 
Live horses,Thousand heads (animals),Portugal,1997,: 
Live horses,Thousand heads (animals),United Kingdom,1997,: 
"Live asses, mules and hinnies",Thousand heads (animals),Belgium,1997,: 
"Live asses, mules and hinnies",Thousand heads (animals),Germany (until 1990 former territory of the FRG),1997,: 
"Live asses, mules and hinnies",Thousand heads (animals),Federal Republic of Germany (former territory of the FRG only),1997,: 
"Live asses, mules and hinnies",Thousand heads (animals),Denmark,1997,: 
"Live asses, mules and hinnies",Thousand heads (animals),Greece,1997,: 
"Live asses, mules and hinnies",Thousand heads (animals),Spain,1997,: 
"Live asses, mules and hinnies",Thousand heads (animals),European Community - 10 countries (1981-1985),1997,: 
"Live asses, mules and hinnies",Thousand heads (animals),European Community - 12 countries (1986-1994),1997,: 
"Live asses, mules and hinnies",Thousand heads (animals),European Community - 9 countries (1973-1980),1997,: 
"Live asses, mules and hinnies",Thousand heads (animals),France,1997,: 
"Live asses, mules and hinnies",Thousand heads (animals),Ireland,1997,: 
"Live asses, mules and hinnies",Thousand heads (animals),Italy,1997,: 
"Live asses, mules and hinnies",Thousand heads (animals),Luxembourg,1997,: 
"Live asses, mules and hinnies",Thousand heads (animals),Netherlands,1997,: 
"Live asses, mules and hinnies",Thousand heads (animals),Portugal,1997,: 
"Live asses, mules and hinnies",Thousand heads (animals),United Kingdom,1997,: 
"Live horses, asses, mules and hinnies",Thousand heads (animals),Albania,1996,226.000 
"Live horses, asses, mules and hinnies",Thousand heads (animals),Belgium,1996,: 
"Live horses, asses, mules and hinnies",Thousand heads (animals),Bulgaria,1996,170.000 
"Live horses, asses, mules and hinnies",Thousand heads (animals),Czechia,1996,19.000 
"Live horses, asses, mules and hinnies",Thousand heads (animals),Germany (until 1990 former territory of the FRG),1996,652.444 
"Live horses, asses, mules and hinnies",Thousand heads (animals),Federal Republic of Germany (former territory of the FRG only),1996,: 
"Live horses, asses, mules and hinnies",Thousand heads (animals),Denmark,1996,: 
"Live horses, asses, mules and hinnies",Thousand heads (animals),Greece,1996,: 
"Live horses, asses, mules and hinnies",Thousand heads (animals),Spain,1996,: 
"Live horses, asses, mules and hinnies",Thousand heads (animals),European Community - 10 countries (1981-1985),1996,: 
"Live horses, asses, mules and hinnies",Thousand heads (animals),European Community - 12 countries (1986-1994),1996,: 
"Live horses, asses, mules and hinnies",Thousand heads (animals),European Community - 9 countries (1973-1980),1996,: 
"Live horses, asses, mules and hinnies",Thousand heads (animals),France,1996,: 
"Live horses, asses, mules and hinnies",Thousand heads (animals),Croatia,1996,8.000 
"Live horses, asses, mules and hinnies",Thousand heads (animals),Hungary,1996,70.000 
"Live horses, asses, mules and hinnies",Thousand heads (animals),Ireland,1996,: 
"Live horses, asses, mules and hinnies",Thousand heads (animals),Italy,1996,: 
"Live horses, asses, mules and hinnies",Thousand heads (animals),Lithuania,1996,81.400 
"Live horses, asses, mules and hinnies",Thousand heads (animals),Luxembourg,1996,: 
"Live horses, asses, mules and hinnies",Thousand heads (animals),Latvia,1996,25.800 
"Live horses, asses, mules and hinnies",Thousand heads (animals),North Macedonia,1996,66.000 
"Live horses, asses, mules and hinnies",Thousand heads (animals),Netherlands,1996,: 
"Live horses, asses, mules and hinnies",Thousand heads (animals),Poland,1996,568.800 
"Live horses, asses, mules and hinnies",Thousand heads (animals),Portugal,1996,: 
"Live horses, asses, mules and hinnies",Thousand heads (animals),Romania,1996,816.000 
"Live horses, asses, mules and hinnies",Thousand heads (animals),Slovenia,1996,8.000 
"Live horses, asses, mules and hinnies",Thousand heads (animals),Slovakia,1996,10.000 
"Live horses, asses, mules and hinnies",Thousand heads (animals),United Kingdom,1996,: 
Live horses,Thousand heads (animals),Belgium,1996,: 
Live horses,Thousand heads (animals),Germany (until 1990 former territory of the FRG),1996,652.444 
Live horses,Thousand heads (animals),Denmark,1996,: 
Live horses,Thousand heads (animals),Greece,1996,: 
Live horses,Thousand heads (animals),Spain,1996,: 
Live horses,Thousand heads (animals),European Community - 12 countries (1986-1994),1996,: 
Live horses,Thousand heads (animals),France,1996,: 
Live horses,Thousand heads (animals),Ireland,1996,: 
Live horses,Thousand heads (animals),Italy,1996,: 
Live horses,Thousand heads (animals),Luxembourg,1996,: 
Live horses,Thousand heads (animals),Netherlands,1996,: 
Live horses,Thousand heads (animals),Portugal,1996,: 
Live horses,Thousand heads (animals),United Kingdom,1996,: 
"Live asses, mules and hinnies",Thousand heads (animals),Belgium,1996,: 
"Live asses, mules and hinnies",Thousand heads (animals),Germany (until 1990 former territory of the FRG),1996,0.000 
"Live asses, mules and hinnies",Thousand heads (animals),Federal Republic of Germany (former territory of the FRG only),1996,: 
"Live asses, mules and hinnies",Thousand heads (animals),Denmark,1996,: 
"Live asses, mules and hinnies",Thousand heads (animals),Greece,1996,: 
"Live asses, mules and hinnies",Thousand heads (animals),Spain,1996,: 
"Live asses, mules and hinnies",Thousand heads (animals),European Community - 10 countries (1981-1985),1996,: 
"Live asses, mules and hinnies",Thousand heads (animals),European Community - 12 countries (1986-1994),1996,: 
"Live asses, mules and hinnies",Thousand heads (animals),European Community - 9 countries (1973-1980),1996,: 
"Live asses, mules and hinnies",Thousand heads (animals),France,1996,: 
"Live asses, mules and hinnies",Thousand heads (animals),Ireland,1996,: 
"Live asses, mules and hinnies",Thousand heads (animals),Italy,1996,: 
"Live asses, mules and hinnies",Thousand heads (animals),Luxembourg,1996,: 
"Live asses, mules and hinnies",Thousand heads (animals),Netherlands,1996,: 
"Live asses, mules and hinnies",Thousand heads (animals),Portugal,1996,: 
"Live asses, mules and hinnies",Thousand heads (animals),United Kingdom,1996,: 
"Live horses, asses, mules and hinnies",Thousand heads (animals),Albania,1995,230.000 
"Live horses, asses, mules and hinnies",Thousand heads (animals),Belgium,1995,: 
"Live horses, asses, mules and hinnies",Thousand heads (animals),Bulgaria,1995,151.000 
"Live horses, asses, mules and hinnies",Thousand heads (animals),Czechia,1995,19.000 
