animals,unit,geo,month,year,population
,Thousand heads (animals),Belgium,A4200,2021,: 
,Thousand heads (animals),Bulgaria,A4200,2021,: 
,Thousand heads (animals),Hungary,A4200,2021,: 
,Thousand heads (animals),Ireland,A4200,2021,: 
,Thousand heads (animals),Lithuania,A4200,2021,: 
,Thousand heads (animals),Luxembourg,A4200,2021,: 
,Thousand heads (animals),Latvia,A4200,2021,: 
,Thousand heads (animals),Netherlands,A4200,2021,: 
,Thousand heads (animals),Poland,A4200,2021,: 
,Thousand heads (animals),Sweden,A4200,2021,: 
,Thousand heads (animals),Slovenia,A4200,2021,: 
,Thousand heads (animals),United Kingdom,A4200,2021,: 
,Thousand heads (animals),Belgium,A4210K,2021,: 
,Thousand heads (animals),Bulgaria,A4210K,2021,: 
,Thousand heads (animals),Hungary,A4210K,2021,: 
,Thousand heads (animals),Ireland,A4210K,2021,: 
,Thousand heads (animals),Lithuania,A4210K,2021,: 
,Thousand heads (animals),Latvia,A4210K,2021,: 
,Thousand heads (animals),Netherlands,A4210K,2021,: 
,Thousand heads (animals),Poland,A4210K,2021,: 
,Thousand heads (animals),Sweden,A4210K,2021,: 
,Thousand heads (animals),Slovenia,A4210K,2021,: 
,Thousand heads (animals),United Kingdom,A4210K,2021,: 
,Thousand heads (animals),Belgium,A4210KA,2021,: 
,Thousand heads (animals),Bulgaria,A4210KA,2021,: 
,Thousand heads (animals),Ireland,A4210KA,2021,: 
,Thousand heads (animals),Netherlands,A4210KA,2021,: 
,Thousand heads (animals),Poland,A4210KA,2021,: 
,Thousand heads (animals),Slovenia,A4210KA,2021,: 
,Thousand heads (animals),Belgium,A4210KB,2021,: 
,Thousand heads (animals),Bulgaria,A4210KB,2021,: 
,Thousand heads (animals),Ireland,A4210KB,2021,: 
,Thousand heads (animals),Netherlands,A4210KB,2021,: 
,Thousand heads (animals),Poland,A4210KB,2021,: 
,Thousand heads (animals),Slovenia,A4210KB,2021,: 
,Thousand heads (animals),Belgium,A4220,2021,: 
,Thousand heads (animals),Bulgaria,A4220,2021,: 
,Thousand heads (animals),Hungary,A4220,2021,: 
,Thousand heads (animals),Ireland,A4220,2021,: 
,Thousand heads (animals),Lithuania,A4220,2021,: 
,Thousand heads (animals),Latvia,A4220,2021,: 
,Thousand heads (animals),Netherlands,A4220,2021,: 
,Thousand heads (animals),Poland,A4220,2021,: 
,Thousand heads (animals),Sweden,A4220,2021,: 
,Thousand heads (animals),Slovenia,A4220,2021,: 
,Thousand heads (animals),United Kingdom,A4220,2021,: 
,Thousand heads (animals),Albania,A4200,2021,775.34 
,Thousand heads (animals),Austria,A4200,2021,100.60 
,Thousand heads (animals),Bosnia and Herzegovina,A4200,2021,: 
,Thousand heads (animals),Belgium,A4200,2021,: 
,Thousand heads (animals),Bulgaria,A4200,2021,215.00 
,Thousand heads (animals),Cyprus,A4200,2021,: 
,Thousand heads (animals),Czechia,A4200,2021,: 
,Thousand heads (animals),Germany (until 1990 former territory of the FRG),A4200,2021,164.00 e
,Thousand heads (animals),Denmark,A4200,2021,: 
,Thousand heads (animals),Estonia,A4200,2021,: 
,Thousand heads (animals),Greece,A4200,2021,2844.00 
,Thousand heads (animals),Spain,A4200,2021,2589.76 p
,Thousand heads (animals),European Union - 15 countries (1995-2004),A4200,2021,: 
,Thousand heads (animals),European Union - 25 countries (2004-2006),A4200,2021,: 
,Thousand heads (animals),European Union - 27 countries (2007-2013),A4200,2021,: 
,Thousand heads (animals),European Union - 27 countries (from 2020),A4200,2021,: 
,Thousand heads (animals),European Union - 28 countries (2013-2020),A4200,2021,: 
,Thousand heads (animals),Finland,A4200,2021,: 
,Thousand heads (animals),France,A4200,2021,1387.77 p
,Thousand heads (animals),Croatia,A4200,2021,86.00 
,Thousand heads (animals),Hungary,A4200,2021,45.60 
,Thousand heads (animals),Ireland,A4200,2021,: 
,Thousand heads (animals),Iceland,A4200,2021,1.70 
,Thousand heads (animals),Italy,A4200,2021,1060.75 
,Thousand heads (animals),Lithuania,A4200,2021,14.70 
,Thousand heads (animals),Luxembourg,A4200,2021,: 
,Thousand heads (animals),Latvia,A4200,2021,11.40 
,Thousand heads (animals),Montenegro,A4200,2021,: 
,Thousand heads (animals),North Macedonia,A4200,2021,76.00 
,Thousand heads (animals),Malta,A4200,2021,5.64 
,Thousand heads (animals),Netherlands,A4200,2021,575.00 
,Thousand heads (animals),Poland,A4200,2021,: 
,Thousand heads (animals),Portugal,A4200,2021,350.47 p
,Thousand heads (animals),Romania,A4200,2021,1486.00 
,Thousand heads (animals),Serbia,A4200,2021,195.00 
,Thousand heads (animals),Sweden,A4200,2021,: 
,Thousand heads (animals),Slovenia,A4200,2021,: 
,Thousand heads (animals),Slovakia,A4200,2021,: 
,Thousand heads (animals),Turkey,A4200,2021,12341.51 
,Thousand heads (animals),United Kingdom,A4200,2021,: 
,Thousand heads (animals),Kosovo (under United Nations Security Council Resolution 1244/99),A4200,2021,: 
,Thousand heads (animals),Albania,A4210K,2021,714.06 
,Thousand heads (animals),Austria,A4210K,2021,63.75 
,Thousand heads (animals),Bosnia and Herzegovina,A4210K,2021,: 
,Thousand heads (animals),Belgium,A4210K,2021,: 
,Thousand heads (animals),Bulgaria,A4210K,2021,189.34 
