"TIME","GEO","ANIMALS","UNIT","Value","Flag and Footnotes"
"2003","European Union - 15 countries (1995-2004)","Laying hens","Thousand heads (animals)",":",""
"2003","Belgium","Laying hens","Thousand heads (animals)","11,822.9",""
"2003","Bulgaria","Laying hens","Thousand heads (animals)",":",""
"2003","Czechia","Laying hens","Thousand heads (animals)",":",""
"2003","Denmark","Laying hens","Thousand heads (animals)","3,701.0",""
"2003","Germany (until 1990 former territory of the FRG)","Laying hens","Thousand heads (animals)","45,521.0","p"
"2003","Estonia","Laying hens","Thousand heads (animals)",":",""
"2003","Ireland","Laying hens","Thousand heads (animals)","3,675.0",""
"2003","Greece","Laying hens","Thousand heads (animals)","14,425.2",""
"2003","Spain","Laying hens","Thousand heads (animals)","57,110.8","p"
"2003","France","Laying hens","Thousand heads (animals)","62,175.0",""
"2003","Croatia","Laying hens","Thousand heads (animals)","6,447.0",""
"2003","Italy","Laying hens","Thousand heads (animals)","58,710.0",""
"2003","Cyprus","Laying hens","Thousand heads (animals)",":",""
"2003","Latvia","Laying hens","Thousand heads (animals)",":",""
"2003","Lithuania","Laying hens","Thousand heads (animals)","3,964.8",""
"2003","Luxembourg","Laying hens","Thousand heads (animals)","0.0","n"
"2003","Hungary","Laying hens","Thousand heads (animals)",":",""
"2003","Malta","Laying hens","Thousand heads (animals)","420.0","p"
"2003","Netherlands","Laying hens","Thousand heads (animals)",":",""
"2003","Austria","Laying hens","Thousand heads (animals)","5,159.4",""
"2003","Poland","Laying hens","Thousand heads (animals)","45,113.0",""
"2003","Portugal","Laying hens","Thousand heads (animals)","8,129.0","p"
"2003","Romania","Laying hens","Thousand heads (animals)",":",""
"2003","Slovenia","Laying hens","Thousand heads (animals)","1,341.0",""
"2003","Slovakia","Laying hens","Thousand heads (animals)",":",""
"2003","Finland","Laying hens","Thousand heads (animals)","3,175.0",""
"2003","Sweden","Laying hens","Thousand heads (animals)","4,497.7",""
"2003","United Kingdom","Laying hens","Thousand heads (animals)","45,000.0",""
"2004","European Union - 15 countries (1995-2004)","Laying hens","Thousand heads (animals)",":",""
"2004","Belgium","Laying hens","Thousand heads (animals)","12,157.0",""
"2004","Bulgaria","Laying hens","Thousand heads (animals)",":",""
"2004","Czechia","Laying hens","Thousand heads (animals)","11,112.3",""
"2004","Denmark","Laying hens","Thousand heads (animals)","3,684.0",""
"2004","Germany (until 1990 former territory of the FRG)","Laying hens","Thousand heads (animals)","44,250.0",""
"2004","Estonia","Laying hens","Thousand heads (animals)","896.7",""
"2004","Ireland","Laying hens","Thousand heads (animals)","3,691.0",""
"2004","Greece","Laying hens","Thousand heads (animals)","14,223.9",""
"2004","Spain","Laying hens","Thousand heads (animals)","57,030.3",""
"2004","France","Laying hens","Thousand heads (animals)","63,418.0",""
"2004","Croatia","Laying hens","Thousand heads (animals)","6,056.0",""
"2004","Italy","Laying hens","Thousand heads (animals)","58,545.0",""
"2004","Cyprus","Laying hens","Thousand heads (animals)",":",""
"2004","Latvia","Laying hens","Thousand heads (animals)",":",""
"2004","Lithuania","Laying hens","Thousand heads (animals)","4,219.3",""
"2004","Luxembourg","Laying hens","Thousand heads (animals)","0.0","n"
"2004","Hungary","Laying hens","Thousand heads (animals)","15,399.1",""
"2004","Malta","Laying hens","Thousand heads (animals)","415.0",""
"2004","Netherlands","Laying hens","Thousand heads (animals)",":",""
"2004","Austria","Laying hens","Thousand heads (animals)","5,275.1",""
"2004","Poland","Laying hens","Thousand heads (animals)","46,697.0",""
"2004","Portugal","Laying hens","Thousand heads (animals)","8,516.0",""
"2004","Romania","Laying hens","Thousand heads (animals)","51,888.9",""
"2004","Slovenia","Laying hens","Thousand heads (animals)","1,001.0",""
"2004","Slovakia","Laying hens","Thousand heads (animals)",":",""
"2004","Finland","Laying hens","Thousand heads (animals)","3,210.0",""
"2004","Sweden","Laying hens","Thousand heads (animals)","4,995.0",""
"2004","United Kingdom","Laying hens","Thousand heads (animals)","48,073.0",""
"2005","European Union - 15 countries (1995-2004)","Laying hens","Thousand heads (animals)",":",""
"2005","Belgium","Laying hens","Thousand heads (animals)","10,612.8",""
"2005","Bulgaria","Laying hens","Thousand heads (animals)",":",""
"2005","Czechia","Laying hens","Thousand heads (animals)","9,917.3",""
"2005","Denmark","Laying hens","Thousand heads (animals)","3,154.0",""
"2005","Germany (until 1990 former territory of the FRG)","Laying hens","Thousand heads (animals)","45,438.0",""
"2005","Estonia","Laying hens","Thousand heads (animals)","797.3",""
"2005","Ireland","Laying hens","Thousand heads (animals)","3,954.0",""
"2005","Greece","Laying hens","Thousand heads (animals)","13,823.1",""
"2005","Spain","Laying hens","Thousand heads (animals)",":",""
"2005","France","Laying hens","Thousand heads (animals)","62,403.0",""
"2005","Croatia","Laying hens","Thousand heads (animals)","5,862.0",""
"2005","Italy","Laying hens","Thousand heads (animals)","57,865.0",""
"2005","Cyprus","Laying hens","Thousand heads (animals)","549.5",""
"2005","Latvia","Laying hens","Thousand heads (animals)","2,097.9",""
"2005","Lithuania","Laying hens","Thousand heads (animals)","4,377.3",""
"2005","Luxembourg","Laying hens","Thousand heads (animals)","0.0","n"
"2005","Hungary","Laying hens","Thousand heads (animals)","14,232.5",""
"2005","Malta","Laying hens","Thousand heads (animals)","477.0",""
"2005","Netherlands","Laying hens","Thousand heads (animals)",":",""
"2005","Austria","Laying hens","Thousand heads (animals)","5,450.0",""
"2005","Poland","Laying hens","Thousand heads (animals)","46,452.0",""
"2005","Portugal","Laying hens","Thousand heads (animals)","7,742.0",""
"2005","Romania","Laying hens","Thousand heads (animals)","49,724.5",""
"2005","Slovenia","Laying hens","Thousand heads (animals)","1,056.0",""
"2005","Slovakia","Laying hens","Thousand heads (animals)",":",""
"2005","Finland","Laying hens","Thousand heads (animals)","3,180.0",""
"2005","Sweden","Laying hens","Thousand heads (animals)","5,065.3",""
"2005","United Kingdom","Laying hens","Thousand heads (animals)","38,000.0",""
"2006","European Union - 15 countries (1995-2004)","Laying hens","Thousand heads (animals)",":",""
"2006","Belgium","Laying hens","Thousand heads (animals)","10,508.1",""
"2006","Bulgaria","Laying hens","Thousand heads (animals)","8,262.9",""
"2006","Czechia","Laying hens","Thousand heads (animals)",":",""
"2006","Denmark","Laying hens","Thousand heads (animals)","2,759.0",""
"2006","Germany (until 1990 former territory of the FRG)","Laying hens","Thousand heads (animals)","42,390.0",""
"2006","Estonia","Laying hens","Thousand heads (animals)",":",""
"2006","Ireland","Laying hens","Thousand heads (animals)","4,133.0",""
"2006","Greece","Laying hens","Thousand heads (animals)","12,779.0",""
"2006","Spain","Laying hens","Thousand heads (animals)",":",""
"2006","France","Laying hens","Thousand heads (animals)","58,419.0",""
"2006","Croatia","Laying hens","Thousand heads (animals)","5,758.0",""
"2006","Italy","Laying hens","Thousand heads (animals)","55,460.0",""
"2006","Cyprus","Laying hens","Thousand heads (animals)","471.5",""
"2006","Latvia","Laying hens","Thousand heads (animals)","2,115.3",""
"2006","Lithuania","Laying hens","Thousand heads (animals)","4,385.6",""
"2006","Luxembourg","Laying hens","Thousand heads (animals)","0.0","n"
"2006","Hungary","Laying hens","Thousand heads (animals)","14,424.5",""
"2006","Malta","Laying hens","Thousand heads (animals)","500.0",""
"2006","Netherlands","Laying hens","Thousand heads (animals)",":",""
"2006","Austria","Laying hens","Thousand heads (animals)","5,552.0",""
"2006","Poland","Laying hens","Thousand heads (animals)","44,551.0",""
"2006","Portugal","Laying hens","Thousand heads (animals)","7,677.0",""
"2006","Romania","Laying hens","Thousand heads (animals)","51,888.9",""
"2006","Slovenia","Laying hens","Thousand heads (animals)","1,120.0",""
"2006","Slovakia","Laying hens","Thousand heads (animals)","5,690.0",""
"2006","Finland","Laying hens","Thousand heads (animals)",":",""
"2006","Sweden","Laying hens","Thousand heads (animals)",":",""
"2006","United Kingdom","Laying hens","Thousand heads (animals)","36,560.0",""
"2007","European Union - 15 countries (1995-2004)","Laying hens","Thousand heads (animals)",":",""
"2007","Belgium","Laying hens","Thousand heads (animals)","9,597.5",""
"2007","Bulgaria","Laying hens","Thousand heads (animals)","7,470.0",""
"2007","Czechia","Laying hens","Thousand heads (animals)","10,661.1",""
"2007","Denmark","Laying hens","Thousand heads (animals)","3,174.0",""
"2007","Germany (until 1990 former territory of the FRG)","Laying hens","Thousand heads (animals)","41,420.0",""
"2007","Estonia","Laying hens","Thousand heads (animals)","625.8",""
"2007","Ireland","Laying hens","Thousand heads (animals)","3,710.0",""
"2007","Greece","Laying hens","Thousand heads (animals)","13,021.0",""
"2007","Spain","Laying hens","Thousand heads (animals)",":",""
"2007","France","Laying hens","Thousand heads (animals)",":",""
"2007","Croatia","Laying hens","Thousand heads (animals)","5,530.0",""
"2007","Italy","Laying hens","Thousand heads (animals)",":",""
"2007","Cyprus","Laying hens","Thousand heads (animals)","517.2",""
"2007","Latvia","Laying hens","Thousand heads (animals)","2,260.0",""
"2007","Lithuania","Laying hens","Thousand heads (animals)","4,309.9",""
"2007","Luxembourg","Laying hens","Thousand heads (animals)","0.0","n"
"2007","Hungary","Laying hens","Thousand heads (animals)","13,838.0",""
"2007","Malta","Laying hens","Thousand heads (animals)","563.8",""
"2007","Netherlands","Laying hens","Thousand heads (animals)",":",""
"2007","Austria","Laying hens","Thousand heads (animals)","5,833.0",""
"2007","Poland","Laying hens","Thousand heads (animals)","45,502.0",""
"2007","Portugal","Laying hens","Thousand heads (animals)","7,871.0",""
"2007","Romania","Laying hens","Thousand heads (animals)","49,724.5",""
"2007","Slovenia","Laying hens","Thousand heads (animals)","1,338.0",""
"2007","Slovakia","Laying hens","Thousand heads (animals)","5,776.0",""
"2007","Finland","Laying hens","Thousand heads (animals)",":",""
"2007","Sweden","Laying hens","Thousand heads (animals)",":",""
"2007","United Kingdom","Laying hens","Thousand heads (animals)",":",""
"2008","European Union - 15 countries (1995-2004)","Laying hens","Thousand heads (animals)",":",""
"2008","Belgium","Laying hens","Thousand heads (animals)","8,905.4",""
"2008","Bulgaria","Laying hens","Thousand heads (animals)","7,116.5",""
"2008","Czechia","Laying hens","Thousand heads (animals)",":",""
"2008","Denmark","Laying hens","Thousand heads (animals)","3,521.0",""
"2008","Germany (until 1990 former territory of the FRG)","Laying hens","Thousand heads (animals)","41,323.0",""
"2008","Estonia","Laying hens","Thousand heads (animals)","525.9",""
"2008","Ireland","Laying hens","Thousand heads (animals)","3,710.2",""
"2008","Greece","Laying hens","Thousand heads (animals)","12,415.9",""
"2008","Spain","Laying hens","Thousand heads (animals)",":",""
"2008","France","Laying hens","Thousand heads (animals)","55,480.0","p"
"2008","Croatia","Laying hens","Thousand heads (animals)","5,486.0",""
"2008","Italy","Laying hens","Thousand heads (animals)",":",""
"2008","Cyprus","Laying hens","Thousand heads (animals)","521.1",""
"2008","Latvia","Laying hens","Thousand heads (animals)","2,223.0","p"
"2008","Lithuania","Laying hens","Thousand heads (animals)","3,659.2",""
"2008","Luxembourg","Laying hens","Thousand heads (animals)","0.0","n"
"2008","Hungary","Laying hens","Thousand heads (animals)","13,354.0",""
"2008","Malta","Laying hens","Thousand heads (animals)","560.0",""
"2008","Netherlands","Laying hens","Thousand heads (animals)",":",""
"2008","Austria","Laying hens","Thousand heads (animals)","5,918.9",""
"2008","Poland","Laying hens","Thousand heads (animals)","47,488.0",""
"2008","Portugal","Laying hens","Thousand heads (animals)","8,000.0",""
"2008","Romania","Laying hens","Thousand heads (animals)","43,253.0",""
"2008","Slovenia","Laying hens","Thousand heads (animals)","1,378.0",""
"2008","Slovakia","Laying hens","Thousand heads (animals)",":",""
"2008","Finland","Laying hens","Thousand heads (animals)",":",""
"2008","Sweden","Laying hens","Thousand heads (animals)",":",""
"2008","United Kingdom","Laying hens","Thousand heads (animals)",":",""
"2009","European Union - 15 countries (1995-2004)","Laying hens","Thousand heads (animals)",":",""
"2009","Belgium","Laying hens","Thousand heads (animals)","6,483.7",""
"2009","Bulgaria","Laying hens","Thousand heads (animals)","6,892.6",""
"2009","Czechia","Laying hens","Thousand heads (animals)",":",""
"2009","Denmark","Laying hens","Thousand heads (animals)","3,280.0",""
"2009","Germany (until 1990 former territory of the FRG)","Laying hens","Thousand heads (animals)","36,697.0",""
"2009","Estonia","Laying hens","Thousand heads (animals)","640.2",""
"2009","Ireland","Laying hens","Thousand heads (animals)","3,744.5",""
"2009","Greece","Laying hens","Thousand heads (animals)","11,983.6",""
"2009","Spain","Laying hens","Thousand heads (animals)",":",""
"2009","France","Laying hens","Thousand heads (animals)","51,480.0","p"
"2009","Croatia","Laying hens","Thousand heads (animals)",":",""
"2009","Italy","Laying hens","Thousand heads (animals)",":",""
"2009","Cyprus","Laying hens","Thousand heads (animals)","545.1",""
"2009","Latvia","Laying hens","Thousand heads (animals)",":",""
"2009","Lithuania","Laying hens","Thousand heads (animals)","3,823.1",""
"2009","Luxembourg","Laying hens","Thousand heads (animals)","0.0","n"
"2009","Hungary","Laying hens","Thousand heads (animals)","12,748.0",""
"2009","Malta","Laying hens","Thousand heads (animals)","383.3",""
"2009","Netherlands","Laying hens","Thousand heads (animals)",":",""
"2009","Austria","Laying hens","Thousand heads (animals)","5,559.9",""
"2009","Poland","Laying hens","Thousand heads (animals)","48,207.0",""
"2009","Portugal","Laying hens","Thousand heads (animals)","8,000.0",""
"2009","Romania","Laying hens","Thousand heads (animals)","36,037.5",""
"2009","Slovenia","Laying hens","Thousand heads (animals)",":",""
"2009","Slovakia","Laying hens","Thousand heads (animals)","6,252.0",""
"2009","Finland","Laying hens","Thousand heads (animals)",":",""
"2009","Sweden","Laying hens","Thousand heads (animals)",":",""
"2009","United Kingdom","Laying hens","Thousand heads (animals)",":",""
"2010","European Union - 15 countries (1995-2004)","Laying hens","Thousand heads (animals)",":",""
"2010","Belgium","Laying hens","Thousand heads (animals)",":",""
"2010","Bulgaria","Laying hens","Thousand heads (animals)","6,217.0",""
"2010","Czechia","Laying hens","Thousand heads (animals)",":",""
"2010","Denmark","Laying hens","Thousand heads (animals)","3,900.0",""
"2010","Germany (until 1990 former territory of the FRG)","Laying hens","Thousand heads (animals)","34,036.0",""
"2010","Estonia","Laying hens","Thousand heads (animals)","674.0",""
"2010","Ireland","Laying hens","Thousand heads (animals)",":",""
"2010","Greece","Laying hens","Thousand heads (animals)","11,151.9",""
"2010","Spain","Laying hens","Thousand heads (animals)",":",""
"2010","France","Laying hens","Thousand heads (animals)","51,310.0","p"
"2010","Croatia","Laying hens","Thousand heads (animals)",":",""
"2010","Italy","Laying hens","Thousand heads (animals)",":",""
"2010","Cyprus","Laying hens","Thousand heads (animals)","507.4",""
"2010","Latvia","Laying hens","Thousand heads (animals)",":",""
"2010","Lithuania","Laying hens","Thousand heads (animals)","4,300.9",""
"2010","Luxembourg","Laying hens","Thousand heads (animals)","0.0","n"
"2010","Hungary","Laying hens","Thousand heads (animals)","12,544.0",""
"2010","Malta","Laying hens","Thousand heads (animals)","314.7",""
"2010","Netherlands","Laying hens","Thousand heads (animals)",":",""
"2010","Austria","Laying hens","Thousand heads (animals)","5,724.5",""
"2010","Poland","Laying hens","Thousand heads (animals)","49,040.0",""
"2010","Portugal","Laying hens","Thousand heads (animals)","8,452.0",""
"2010","Romania","Laying hens","Thousand heads (animals)","35,602.8",""
"2010","Slovenia","Laying hens","Thousand heads (animals)",":",""
"2010","Slovakia","Laying hens","Thousand heads (animals)","6,266.0",""
"2010","Finland","Laying hens","Thousand heads (animals)",":",""
"2010","Sweden","Laying hens","Thousand heads (animals)",":",""
"2010","United Kingdom","Laying hens","Thousand heads (animals)",":",""
"2011","European Union - 15 countries (1995-2004)","Laying hens","Thousand heads (animals)",":",""
"2011","Belgium","Laying hens","Thousand heads (animals)",":",""
"2011","Bulgaria","Laying hens","Thousand heads (animals)",":",""
"2011","Czechia","Laying hens","Thousand heads (animals)",":",""
"2011","Denmark","Laying hens","Thousand heads (animals)",":",""
"2011","Germany (until 1990 former territory of the FRG)","Laying hens","Thousand heads (animals)",":",""
"2011","Estonia","Laying hens","Thousand heads (animals)",":",""
"2011","Ireland","Laying hens","Thousand heads (animals)",":",""
"2011","Greece","Laying hens","Thousand heads (animals)",":",""
"2011","Spain","Laying hens","Thousand heads (animals)",":",""
"2011","France","Laying hens","Thousand heads (animals)",":",""
"2011","Croatia","Laying hens","Thousand heads (animals)",":",""
"2011","Italy","Laying hens","Thousand heads (animals)",":",""
"2011","Cyprus","Laying hens","Thousand heads (animals)",":",""
"2011","Latvia","Laying hens","Thousand heads (animals)",":",""
"2011","Lithuania","Laying hens","Thousand heads (animals)","4,034.1",""
"2011","Luxembourg","Laying hens","Thousand heads (animals)","0.0","n"
"2011","Hungary","Laying hens","Thousand heads (animals)",":",""
"2011","Malta","Laying hens","Thousand heads (animals)",":",""
"2011","Netherlands","Laying hens","Thousand heads (animals)",":",""
"2011","Austria","Laying hens","Thousand heads (animals)",":",""
"2011","Poland","Laying hens","Thousand heads (animals)",":",""
"2011","Portugal","Laying hens","Thousand heads (animals)",":",""
"2011","Romania","Laying hens","Thousand heads (animals)",":",""
"2011","Slovenia","Laying hens","Thousand heads (animals)",":",""
"2011","Slovakia","Laying hens","Thousand heads (animals)",":",""
"2011","Finland","Laying hens","Thousand heads (animals)",":",""
"2011","Sweden","Laying hens","Thousand heads (animals)",":",""
"2011","United Kingdom","Laying hens","Thousand heads (animals)",":",""
"2012","European Union - 15 countries (1995-2004)","Laying hens","Thousand heads (animals)",":",""
"2012","Belgium","Laying hens","Thousand heads (animals)",":",""
"2012","Bulgaria","Laying hens","Thousand heads (animals)",":",""
"2012","Czechia","Laying hens","Thousand heads (animals)",":",""
"2012","Denmark","Laying hens","Thousand heads (animals)",":",""
"2012","Germany (until 1990 former territory of the FRG)","Laying hens","Thousand heads (animals)",":",""
"2012","Estonia","Laying hens","Thousand heads (animals)",":",""
"2012","Ireland","Laying hens","Thousand heads (animals)",":",""
"2012","Greece","Laying hens","Thousand heads (animals)",":",""
"2012","Spain","Laying hens","Thousand heads (animals)",":",""
"2012","France","Laying hens","Thousand heads (animals)",":",""
"2012","Croatia","Laying hens","Thousand heads (animals)",":",""
"2012","Italy","Laying hens","Thousand heads (animals)",":",""
"2012","Cyprus","Laying hens","Thousand heads (animals)",":",""
"2012","Latvia","Laying hens","Thousand heads (animals)",":",""
"2012","Lithuania","Laying hens","Thousand heads (animals)",":",""
"2012","Luxembourg","Laying hens","Thousand heads (animals)","0.0","n"
"2012","Hungary","Laying hens","Thousand heads (animals)",":",""
"2012","Malta","Laying hens","Thousand heads (animals)",":",""
"2012","Netherlands","Laying hens","Thousand heads (animals)",":",""
