animals,geo,time,tablename
Laying hens,Austria,"[2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010]",apro_ec_lshen
Laying hens,Belgium,"[2003, 2004, 2005, 2006, 2007, 2008, 2009]",apro_ec_lshen
Laying hens,Bulgaria,"[2006, 2007, 2008, 2009, 2010]",apro_ec_lshen
Laying hens,Croatia,"[2003, 2004, 2005, 2006, 2007, 2008]",apro_ec_lshen
Laying hens,Cyprus,"[2005, 2006, 2007, 2008, 2009, 2010]",apro_ec_lshen
Laying hens,Czechia,"[2004, 2005, 2007]",apro_ec_lshen
Laying hens,Denmark,"[2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010]",apro_ec_lshen
Laying hens,Estonia,"[2004, 2005, 2007, 2008, 2009, 2010]",apro_ec_lshen
Laying hens,Finland,"[2003, 2004, 2005]",apro_ec_lshen
Laying hens,France,"[2003, 2004, 2005, 2006, 2008, 2009, 2010]",apro_ec_lshen
Laying hens,Germany (until 1990 former territory of the FRG),"[2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010]",apro_ec_lshen
Laying hens,Greece,"[2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010]",apro_ec_lshen
Laying hens,Hungary,"[2004, 2005, 2006, 2007, 2008, 2009, 2010]",apro_ec_lshen
Laying hens,Ireland,"[2003, 2004, 2005, 2006, 2007, 2008, 2009]",apro_ec_lshen
Laying hens,Italy,"[2003, 2004, 2005, 2006]",apro_ec_lshen
Laying hens,Latvia,"[2005, 2006, 2007, 2008]",apro_ec_lshen
Laying hens,Lithuania,"[2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011]",apro_ec_lshen
Laying hens,Luxembourg,"[2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012]",apro_ec_lshen
Laying hens,Malta,"[2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010]",apro_ec_lshen
Laying hens,Poland,"[2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010]",apro_ec_lshen
Laying hens,Portugal,"[2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010]",apro_ec_lshen
Laying hens,Romania,"[2004, 2005, 2006, 2007, 2008, 2009, 2010]",apro_ec_lshen
Laying hens,Slovakia,"[2006, 2007, 2009, 2010]",apro_ec_lshen
Laying hens,Slovenia,"[2003, 2004, 2005, 2006, 2007, 2008]",apro_ec_lshen
Laying hens,Spain,"[2003, 2004]",apro_ec_lshen
Laying hens,Sweden,"[2003, 2004, 2005]",apro_ec_lshen
Laying hens,United Kingdom,"[2003, 2004, 2005, 2006]",apro_ec_lshen
