"TIME","GEO","ANIMALS","MONTH","UNIT","Value","Flag and Footnotes"
"2013","European Union - 27 countries (from 2020)","Live bovine animals","December","Thousand heads (animals)","78,019.23",""
"2013","European Union - 27 countries (from 2020)","Bovine animals, less than 1 year old","December","Thousand heads (animals)","23,345.79",""
"2013","European Union - 27 countries (from 2020)","Bovine animals, less than 1 year old, for slaughter","December","Thousand heads (animals)","5,314.49",""
"2013","European Union - 27 countries (from 2020)","Bovine animals, less than 1 year old, not for slaughter","December","Thousand heads (animals)","18,031.29",""
"2013","European Union - 27 countries (from 2020)","Bovine animals, 1 to less than 2 years old","December","Thousand heads (animals)","15,927.88",""
"2013","European Union - 28 countries (2013-2020)","Live bovine animals","December","Thousand heads (animals)","87,701.23",""
"2013","European Union - 28 countries (2013-2020)","Bovine animals, less than 1 year old","December","Thousand heads (animals)","26,148.79",""
"2013","European Union - 28 countries (2013-2020)","Bovine animals, less than 1 year old, for slaughter","December","Thousand heads (animals)","5,340.49",""
"2013","European Union - 28 countries (2013-2020)","Bovine animals, less than 1 year old, not for slaughter","December","Thousand heads (animals)","20,808.29",""
"2013","European Union - 28 countries (2013-2020)","Bovine animals, 1 to less than 2 years old","December","Thousand heads (animals)","18,338.88",""
"2013","European Union - 27 countries (2007-2013)","Live bovine animals","December","Thousand heads (animals)","87,259.23",""
"2013","European Union - 27 countries (2007-2013)","Bovine animals, less than 1 year old","December","Thousand heads (animals)","26,003.79",""
"2013","European Union - 27 countries (2007-2013)","Bovine animals, less than 1 year old, for slaughter","December","Thousand heads (animals)","5,321.49",""
"2013","European Union - 27 countries (2007-2013)","Bovine animals, less than 1 year old, not for slaughter","December","Thousand heads (animals)","20,682.29",""
"2013","European Union - 27 countries (2007-2013)","Bovine animals, 1 to less than 2 years old","December","Thousand heads (animals)","18,246.88",""
"2013","European Union - 25 countries (2004-2006)","Live bovine animals","December","Thousand heads (animals)","84,651.28",""
"2013","European Union - 25 countries (2004-2006)","Bovine animals, less than 1 year old","December","Thousand heads (animals)","25,399.65",""
"2013","European Union - 25 countries (2004-2006)","Bovine animals, less than 1 year old, for slaughter","December","Thousand heads (animals)","5,079.05",""
"2013","European Union - 25 countries (2004-2006)","Bovine animals, less than 1 year old, not for slaughter","December","Thousand heads (animals)","20,320.59",""
"2013","European Union - 25 countries (2004-2006)","Bovine animals, 1 to less than 2 years old","December","Thousand heads (animals)","17,947.50",""
"2013","European Union - 15 countries (1995-2004)","Live bovine animals","December","Thousand heads (animals)","74,565.58",""
"2013","European Union - 15 countries (1995-2004)","Bovine animals, less than 1 year old","December","Thousand heads (animals)","22,720.38",""
"2013","European Union - 15 countries (1995-2004)","Bovine animals, less than 1 year old, for slaughter","December","Thousand heads (animals)","4,571.53",""
"2013","European Union - 15 countries (1995-2004)","Bovine animals, less than 1 year old, not for slaughter","December","Thousand heads (animals)","18,148.84",""
"2013","European Union - 15 countries (1995-2004)","Bovine animals, 1 to less than 2 years old","December","Thousand heads (animals)","15,591.26",""
"2013","Belgium","Live bovine animals","December","Thousand heads (animals)","2,441.32",""
"2013","Belgium","Bovine animals, less than 1 year old","December","Thousand heads (animals)","717.73",""
"2013","Belgium","Bovine animals, less than 1 year old, for slaughter","December","Thousand heads (animals)","165.12",""
"2013","Belgium","Bovine animals, less than 1 year old, not for slaughter","December","Thousand heads (animals)","552.61",""
"2013","Belgium","Bovine animals, 1 to less than 2 years old","December","Thousand heads (animals)","489.68",""
"2013","Bulgaria","Live bovine animals","December","Thousand heads (animals)","585.55",""
"2013","Bulgaria","Bovine animals, less than 1 year old","December","Thousand heads (animals)","150.04",""
"2013","Bulgaria","Bovine animals, less than 1 year old, for slaughter","December","Thousand heads (animals)","88.84",""
"2013","Bulgaria","Bovine animals, less than 1 year old, not for slaughter","December","Thousand heads (animals)","61.20",""
"2013","Bulgaria","Bovine animals, 1 to less than 2 years old","December","Thousand heads (animals)","61.68",""
"2013","Czechia","Live bovine animals","December","Thousand heads (animals)","1,332.08",""
"2013","Czechia","Bovine animals, less than 1 year old","December","Thousand heads (animals)","390.42",""
"2013","Czechia","Bovine animals, less than 1 year old, for slaughter","December","Thousand heads (animals)","8.73",""
"2013","Czechia","Bovine animals, less than 1 year old, not for slaughter","December","Thousand heads (animals)","381.70",""
"2013","Czechia","Bovine animals, 1 to less than 2 years old","December","Thousand heads (animals)","299.73",""
"2013","Denmark","Live bovine animals","December","Thousand heads (animals)","1,583.00",""
"2013","Denmark","Bovine animals, less than 1 year old","December","Thousand heads (animals)","528.00",""
"2013","Denmark","Bovine animals, less than 1 year old, for slaughter","December","Thousand heads (animals)","255.00",""
"2013","Denmark","Bovine animals, less than 1 year old, not for slaughter","December","Thousand heads (animals)","273.00",""
"2013","Denmark","Bovine animals, 1 to less than 2 years old","December","Thousand heads (animals)","319.00",""
"2013","Germany (until 1990 former territory of the FRG)","Live bovine animals","December","Thousand heads (animals)","12,685.99",""
"2013","Germany (until 1990 former territory of the FRG)","Bovine animals, less than 1 year old","December","Thousand heads (animals)","3,878.25",""
"2013","Germany (until 1990 former territory of the FRG)","Bovine animals, less than 1 year old, for slaughter","December","Thousand heads (animals)","214.60",""
"2013","Germany (until 1990 former territory of the FRG)","Bovine animals, less than 1 year old, not for slaughter","December","Thousand heads (animals)","3,663.65",""
"2013","Germany (until 1990 former territory of the FRG)","Bovine animals, 1 to less than 2 years old","December","Thousand heads (animals)","3,014.73",""
"2013","Estonia","Live bovine animals","December","Thousand heads (animals)","261.40",""
"2013","Estonia","Bovine animals, less than 1 year old","December","Thousand heads (animals)","70.70",""
"2013","Estonia","Bovine animals, less than 1 year old, for slaughter","December","Thousand heads (animals)","3.40",""
"2013","Estonia","Bovine animals, less than 1 year old, not for slaughter","December","Thousand heads (animals)","67.30",""
"2013","Estonia","Bovine animals, 1 to less than 2 years old","December","Thousand heads (animals)","53.60",""
"2013","Ireland","Live bovine animals","December","Thousand heads (animals)","6,309.05",""
"2013","Ireland","Bovine animals, less than 1 year old","December","Thousand heads (animals)","1,893.29",""
"2013","Ireland","Bovine animals, less than 1 year old, for slaughter","December","Thousand heads (animals)","5.60",""
"2013","Ireland","Bovine animals, less than 1 year old, not for slaughter","December","Thousand heads (animals)","1,887.69",""
"2013","Ireland","Bovine animals, 1 to less than 2 years old","December","Thousand heads (animals)","1,714.41",""
"2013","Greece","Live bovine animals","December","Thousand heads (animals)","653.00",""
"2013","Greece","Bovine animals, less than 1 year old","December","Thousand heads (animals)","167.00",""
"2013","Greece","Bovine animals, less than 1 year old, for slaughter","December","Thousand heads (animals)","48.00",""
"2013","Greece","Bovine animals, less than 1 year old, not for slaughter","December","Thousand heads (animals)","119.00",""
"2013","Greece","Bovine animals, 1 to less than 2 years old","December","Thousand heads (animals)","129.00",""
"2013","Spain","Live bovine animals","December","Thousand heads (animals)","5,802.22",""
"2013","Spain","Bovine animals, less than 1 year old","December","Thousand heads (animals)","2,067.77",""
"2013","Spain","Bovine animals, less than 1 year old, for slaughter","December","Thousand heads (animals)","1,408.53",""
"2013","Spain","Bovine animals, less than 1 year old, not for slaughter","December","Thousand heads (animals)","659.24",""
"2013","Spain","Bovine animals, 1 to less than 2 years old","December","Thousand heads (animals)","735.10",""
"2013","France","Live bovine animals","December","Thousand heads (animals)","19,095.80",""
"2013","France","Bovine animals, less than 1 year old","December","Thousand heads (animals)","5,453.68",""
"2013","France","Bovine animals, less than 1 year old, for slaughter","December","Thousand heads (animals)","641.17",""
"2013","France","Bovine animals, less than 1 year old, not for slaughter","December","Thousand heads (animals)","4,812.51",""
"2013","France","Bovine animals, 1 to less than 2 years old","December","Thousand heads (animals)","3,437.72",""
"2013","Croatia","Live bovine animals","December","Thousand heads (animals)","442.00",""
"2013","Croatia","Bovine animals, less than 1 year old","December","Thousand heads (animals)","145.00",""
"2013","Croatia","Bovine animals, less than 1 year old, for slaughter","December","Thousand heads (animals)","19.00",""
"2013","Croatia","Bovine animals, less than 1 year old, not for slaughter","December","Thousand heads (animals)","126.00",""
"2013","Croatia","Bovine animals, 1 to less than 2 years old","December","Thousand heads (animals)","92.00",""
"2013","Italy","Live bovine animals","December","Thousand heads (animals)","6,249.29",""
"2013","Italy","Bovine animals, less than 1 year old","December","Thousand heads (animals)","1,680.32",""
"2013","Italy","Bovine animals, less than 1 year old, for slaughter","December","Thousand heads (animals)","485.48",""
"2013","Italy","Bovine animals, less than 1 year old, not for slaughter","December","Thousand heads (animals)","1,194.84",""
"2013","Italy","Bovine animals, 1 to less than 2 years old","December","Thousand heads (animals)","1,456.56",""
"2013","Cyprus","Live bovine animals","December","Thousand heads (animals)","57.08",""
"2013","Cyprus","Bovine animals, less than 1 year old","December","Thousand heads (animals)","21.08",""
"2013","Cyprus","Bovine animals, less than 1 year old, for slaughter","December","Thousand heads (animals)","9.48",""
"2013","Cyprus","Bovine animals, less than 1 year old, not for slaughter","December","Thousand heads (animals)","11.60",""
"2013","Cyprus","Bovine animals, 1 to less than 2 years old","December","Thousand heads (animals)","9.11",""
"2013","Latvia","Live bovine animals","December","Thousand heads (animals)","406.49",""
"2013","Latvia","Bovine animals, less than 1 year old","December","Thousand heads (animals)","109.28",""
"2013","Latvia","Bovine animals, less than 1 year old, for slaughter","December","Thousand heads (animals)","52.99",""
"2013","Latvia","Bovine animals, less than 1 year old, not for slaughter","December","Thousand heads (animals)","56.29",""
"2013","Latvia","Bovine animals, 1 to less than 2 years old","December","Thousand heads (animals)","75.31",""
"2013","Lithuania","Live bovine animals","December","Thousand heads (animals)","713.50",""
"2013","Lithuania","Bovine animals, less than 1 year old","December","Thousand heads (animals)","186.50",""
"2013","Lithuania","Bovine animals, less than 1 year old, for slaughter","December","Thousand heads (animals)","55.20",""
"2013","Lithuania","Bovine animals, less than 1 year old, not for slaughter","December","Thousand heads (animals)","131.30",""
"2013","Lithuania","Bovine animals, 1 to less than 2 years old","December","Thousand heads (animals)","143.60",""
"2013","Luxembourg","Live bovine animals","December","Thousand heads (animals)","198.24",""
"2013","Luxembourg","Bovine animals, less than 1 year old","December","Thousand heads (animals)","55.23",""
"2013","Luxembourg","Bovine animals, less than 1 year old, for slaughter","December","Thousand heads (animals)","3.95",""
"2013","Luxembourg","Bovine animals, less than 1 year old, not for slaughter","December","Thousand heads (animals)","51.28",""
"2013","Luxembourg","Bovine animals, 1 to less than 2 years old","December","Thousand heads (animals)","45.24",""
"2013","Hungary","Live bovine animals","December","Thousand heads (animals)","782.00",""
"2013","Hungary","Bovine animals, less than 1 year old","December","Thousand heads (animals)","212.00",""
"2013","Hungary","Bovine animals, less than 1 year old, for slaughter","December","Thousand heads (animals)","53.00",""
"2013","Hungary","Bovine animals, less than 1 year old, not for slaughter","December","Thousand heads (animals)","159.00",""
"2013","Hungary","Bovine animals, 1 to less than 2 years old","December","Thousand heads (animals)","179.00",""
"2013","Malta","Live bovine animals","December","Thousand heads (animals)","15.22",""
"2013","Malta","Bovine animals, less than 1 year old","December","Thousand heads (animals)","4.30",""
"2013","Malta","Bovine animals, less than 1 year old, for slaughter","December","Thousand heads (animals)","0.00",""
"2013","Malta","Bovine animals, less than 1 year old, not for slaughter","December","Thousand heads (animals)","4.30",""
"2013","Malta","Bovine animals, 1 to less than 2 years old","December","Thousand heads (animals)","3.76",""
"2013","Netherlands","Live bovine animals","December","Thousand heads (animals)","4,090.00",""
"2013","Netherlands","Bovine animals, less than 1 year old","December","Thousand heads (animals)","1,653.00",""
"2013","Netherlands","Bovine animals, less than 1 year old, for slaughter","December","Thousand heads (animals)","1,026.00",""
"2013","Netherlands","Bovine animals, less than 1 year old, not for slaughter","December","Thousand heads (animals)","627.00",""
"2013","Netherlands","Bovine animals, 1 to less than 2 years old","December","Thousand heads (animals)","627.00",""
"2013","Austria","Live bovine animals","December","Thousand heads (animals)","1,958.28",""
"2013","Austria","Bovine animals, less than 1 year old","December","Thousand heads (animals)","626.97",""
"2013","Austria","Bovine animals, less than 1 year old, for slaughter","December","Thousand heads (animals)","162.85",""
"2013","Austria","Bovine animals, less than 1 year old, not for slaughter","December","Thousand heads (animals)","464.12",""
"2013","Austria","Bovine animals, 1 to less than 2 years old","December","Thousand heads (animals)","434.55",""
"2013","Poland","Live bovine animals","December","Thousand heads (animals)","5,589.54",""
"2013","Poland","Bovine animals, less than 1 year old","December","Thousand heads (animals)","1,408.63",""
"2013","Poland","Bovine animals, less than 1 year old, for slaughter","December","Thousand heads (animals)","289.98",""
"2013","Poland","Bovine animals, less than 1 year old, not for slaughter","December","Thousand heads (animals)","1,118.65",""
"2013","Poland","Bovine animals, 1 to less than 2 years old","December","Thousand heads (animals)","1,371.60",""
"2013","Portugal","Live bovine animals","December","Thousand heads (animals)","1,470.50",""
"2013","Portugal","Bovine animals, less than 1 year old","December","Thousand heads (animals)","425.23",""
"2013","Portugal","Bovine animals, less than 1 year old, for slaughter","December","Thousand heads (animals)","105.70",""
"2013","Portugal","Bovine animals, less than 1 year old, not for slaughter","December","Thousand heads (animals)","319.53",""
"2013","Portugal","Bovine animals, 1 to less than 2 years old","December","Thousand heads (animals)","211.29",""
"2013","Romania","Live bovine animals","December","Thousand heads (animals)","2,022.40",""
"2013","Romania","Bovine animals, less than 1 year old","December","Thousand heads (animals)","454.10",""
"2013","Romania","Bovine animals, less than 1 year old, for slaughter","December","Thousand heads (animals)","153.60",""
"2013","Romania","Bovine animals, less than 1 year old, not for slaughter","December","Thousand heads (animals)","300.50",""
"2013","Romania","Bovine animals, 1 to less than 2 years old","December","Thousand heads (animals)","237.70",""
"2013","Slovenia","Live bovine animals","December","Thousand heads (animals)","460.58",""
"2013","Slovenia","Bovine animals, less than 1 year old","December","Thousand heads (animals)","143.85",""
"2013","Slovenia","Bovine animals, less than 1 year old, for slaughter","December","Thousand heads (animals)","14.15",""
"2013","Slovenia","Bovine animals, less than 1 year old, not for slaughter","December","Thousand heads (animals)","129.69",""
"2013","Slovenia","Bovine animals, 1 to less than 2 years old","December","Thousand heads (animals)","122.97",""
"2013","Slovakia","Live bovine animals","December","Thousand heads (animals)","467.82",""
"2013","Slovakia","Bovine animals, less than 1 year old","December","Thousand heads (animals)","132.52",""
"2013","Slovakia","Bovine animals, less than 1 year old, for slaughter","December","Thousand heads (animals)","20.59",""
"2013","Slovakia","Bovine animals, less than 1 year old, not for slaughter","December","Thousand heads (animals)","111.92",""
"2013","Slovakia","Bovine animals, 1 to less than 2 years old","December","Thousand heads (animals)","97.56",""
"2013","Finland","Live bovine animals","December","Thousand heads (animals)","903.36",""
"2013","Finland","Bovine animals, less than 1 year old","December","Thousand heads (animals)","301.84",""
"2013","Finland","Bovine animals, less than 1 year old, for slaughter","December","Thousand heads (animals)","2.71",""
"2013","Finland","Bovine animals, less than 1 year old, not for slaughter","December","Thousand heads (animals)","299.14",""
"2013","Finland","Bovine animals, 1 to less than 2 years old","December","Thousand heads (animals)","223.62",""
"2013","Sweden","Live bovine animals","December","Thousand heads (animals)","1,443.52",""
"2013","Sweden","Bovine animals, less than 1 year old","December","Thousand heads (animals)","469.07",""
"2013","Sweden","Bovine animals, less than 1 year old, for slaughter","December","Thousand heads (animals)","20.83",""
"2013","Sweden","Bovine animals, less than 1 year old, not for slaughter","December","Thousand heads (animals)","448.24",""
"2013","Sweden","Bovine animals, 1 to less than 2 years old","December","Thousand heads (animals)","342.36",""
"2013","Iceland","Live bovine animals","December","Thousand heads (animals)","73.20",""
"2013","Iceland","Bovine animals, less than 1 year old","December","Thousand heads (animals)","20.10",""
"2013","Iceland","Bovine animals, less than 1 year old, for slaughter","December","Thousand heads (animals)","0.50",""
"2013","Iceland","Bovine animals, less than 1 year old, not for slaughter","December","Thousand heads (animals)","19.60",""
"2013","Iceland","Bovine animals, 1 to less than 2 years old","December","Thousand heads (animals)","20.20",""
"2013","Switzerland","Live bovine animals","December","Thousand heads (animals)",":",""
"2013","Switzerland","Bovine animals, less than 1 year old","December","Thousand heads (animals)",":",""
"2013","Switzerland","Bovine animals, less than 1 year old, for slaughter","December","Thousand heads (animals)",":",""
"2013","Switzerland","Bovine animals, less than 1 year old, not for slaughter","December","Thousand heads (animals)",":",""
"2013","Switzerland","Bovine animals, 1 to less than 2 years old","December","Thousand heads (animals)",":",""
"2013","United Kingdom","Live bovine animals","December","Thousand heads (animals)","9,682.00",""
"2013","United Kingdom","Bovine animals, less than 1 year old","December","Thousand heads (animals)","2,803.00",""
"2013","United Kingdom","Bovine animals, less than 1 year old, for slaughter","December","Thousand heads (animals)","26.00",""
"2013","United Kingdom","Bovine animals, less than 1 year old, not for slaughter","December","Thousand heads (animals)","2,777.00",""
"2013","United Kingdom","Bovine animals, 1 to less than 2 years old","December","Thousand heads (animals)","2,411.00",""
"2013","Montenegro","Live bovine animals","December","Thousand heads (animals)","89.00",""
"2013","Montenegro","Bovine animals, less than 1 year old","December","Thousand heads (animals)","17.00",""
"2013","Montenegro","Bovine animals, less than 1 year old, for slaughter","December","Thousand heads (animals)","8.00",""
"2013","Montenegro","Bovine animals, less than 1 year old, not for slaughter","December","Thousand heads (animals)","9.00",""
"2013","Montenegro","Bovine animals, 1 to less than 2 years old","December","Thousand heads (animals)","4.00",""
"2013","North Macedonia","Live bovine animals","December","Thousand heads (animals)","238.00",""
"2013","North Macedonia","Bovine animals, less than 1 year old","December","Thousand heads (animals)","62.00",""
"2013","North Macedonia","Bovine animals, less than 1 year old, for slaughter","December","Thousand heads (animals)","4.00",""
"2013","North Macedonia","Bovine animals, less than 1 year old, not for slaughter","December","Thousand heads (animals)","58.00",""
"2013","North Macedonia","Bovine animals, 1 to less than 2 years old","December","Thousand heads (animals)","17.00",""
"2013","Albania","Live bovine animals","December","Thousand heads (animals)",":",""
"2013","Albania","Bovine animals, less than 1 year old","December","Thousand heads (animals)",":",""
"2013","Albania","Bovine animals, less than 1 year old, for slaughter","December","Thousand heads (animals)",":",""
"2013","Albania","Bovine animals, less than 1 year old, not for slaughter","December","Thousand heads (animals)",":",""
"2013","Albania","Bovine animals, 1 to less than 2 years old","December","Thousand heads (animals)",":",""
"2013","Serbia","Live bovine animals","December","Thousand heads (animals)","913.00",""
"2013","Serbia","Bovine animals, less than 1 year old","December","Thousand heads (animals)","293.00",""
"2013","Serbia","Bovine animals, less than 1 year old, for slaughter","December","Thousand heads (animals)","24.00",""
"2013","Serbia","Bovine animals, less than 1 year old, not for slaughter","December","Thousand heads (animals)","269.00",""
"2013","Serbia","Bovine animals, 1 to less than 2 years old","December","Thousand heads (animals)","132.00",""
"2013","Turkey","Live bovine animals","December","Thousand heads (animals)","14,532.85",""
"2013","Turkey","Bovine animals, less than 1 year old","December","Thousand heads (animals)","3,591.38",""
"2013","Turkey","Bovine animals, less than 1 year old, for slaughter","December","Thousand heads (animals)","20.59","e"
"2013","Turkey","Bovine animals, less than 1 year old, not for slaughter","December","Thousand heads (animals)","3,570.79","e"
"2013","Turkey","Bovine animals, 1 to less than 2 years old","December","Thousand heads (animals)","3,715.06",""
"2013","Bosnia and Herzegovina","Live bovine animals","December","Thousand heads (animals)","447.00","e"
"2013","Bosnia and Herzegovina","Bovine animals, less than 1 year old","December","Thousand heads (animals)","92.00","e"
"2013","Bosnia and Herzegovina","Bovine animals, less than 1 year old, for slaughter","December","Thousand heads (animals)","37.00","e"
"2013","Bosnia and Herzegovina","Bovine animals, less than 1 year old, not for slaughter","December","Thousand heads (animals)","55.00","e"
"2013","Bosnia and Herzegovina","Bovine animals, 1 to less than 2 years old","December","Thousand heads (animals)","73.00","e"
"2013","Kosovo (under United Nations Security Council Resolution 1244/99)","Live bovine animals","December","Thousand heads (animals)",":",""
"2013","Kosovo (under United Nations Security Council Resolution 1244/99)","Bovine animals, less than 1 year old","December","Thousand heads (animals)",":",""
"2013","Kosovo (under United Nations Security Council Resolution 1244/99)","Bovine animals, less than 1 year old, for slaughter","December","Thousand heads (animals)",":",""
"2013","Kosovo (under United Nations Security Council Resolution 1244/99)","Bovine animals, less than 1 year old, not for slaughter","December","Thousand heads (animals)",":",""
"2013","Kosovo (under United Nations Security Council Resolution 1244/99)","Bovine animals, 1 to less than 2 years old","December","Thousand heads (animals)",":",""
"2014","European Union - 27 countries (from 2020)","Live bovine animals","December","Thousand heads (animals)","78,690.25",""
"2014","European Union - 27 countries (from 2020)","Bovine animals, less than 1 year old","December","Thousand heads (animals)","23,862.79",""
"2014","European Union - 27 countries (from 2020)","Bovine animals, less than 1 year old, for slaughter","December","Thousand heads (animals)","5,419.09",""
"2014","European Union - 27 countries (from 2020)","Bovine animals, less than 1 year old, not for slaughter","December","Thousand heads (animals)","18,442.70",""
"2014","European Union - 27 countries (from 2020)","Bovine animals, 1 to less than 2 years old","December","Thousand heads (animals)","15,855.05",""
"2014","European Union - 28 countries (2013-2020)","Live bovine animals","December","Thousand heads (animals)","88,383.25",""
"2014","European Union - 28 countries (2013-2020)","Bovine animals, less than 1 year old","December","Thousand heads (animals)","26,704.79",""
"2014","European Union - 28 countries (2013-2020)","Bovine animals, less than 1 year old, for slaughter","December","Thousand heads (animals)","5,445.09",""
"2014","European Union - 28 countries (2013-2020)","Bovine animals, less than 1 year old, not for slaughter","December","Thousand heads (animals)","21,258.70",""
"2014","European Union - 28 countries (2013-2020)","Bovine animals, 1 to less than 2 years old","December","Thousand heads (animals)","18,187.05",""
"2014","European Union - 27 countries (2007-2013)","Live bovine animals","December","Thousand heads (animals)","87,942.25",""
"2014","European Union - 27 countries (2007-2013)","Bovine animals, less than 1 year old","December","Thousand heads (animals)","26,572.79",""
"2014","European Union - 27 countries (2007-2013)","Bovine animals, less than 1 year old, for slaughter","December","Thousand heads (animals)","5,432.09",""
