animals,geo,time,tablename
"Bovine animals, 1 to less than 2 years old",Albania,"[2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",apro_mt_lscatl
"Bovine animals, 1 to less than 2 years old",Austria,"[2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",apro_mt_lscatl
"Bovine animals, 1 to less than 2 years old",Belgium,"[2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",apro_mt_lscatl
"Bovine animals, 1 to less than 2 years old",Bosnia and Herzegovina,"[2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020]",apro_mt_lscatl
"Bovine animals, 1 to less than 2 years old",Bulgaria,"[2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",apro_mt_lscatl
"Bovine animals, 1 to less than 2 years old",Croatia,"[2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",apro_mt_lscatl
"Bovine animals, 1 to less than 2 years old",Cyprus,"[2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",apro_mt_lscatl
"Bovine animals, 1 to less than 2 years old",Czechia,"[2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",apro_mt_lscatl
"Bovine animals, 1 to less than 2 years old",Denmark,"[2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",apro_mt_lscatl
"Bovine animals, 1 to less than 2 years old",Estonia,"[2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",apro_mt_lscatl
"Bovine animals, 1 to less than 2 years old",European Union - 15 countries (1995-2004),"[2013, 2014, 2015, 2016, 2017, 2018, 2019]",apro_mt_lscatl
"Bovine animals, 1 to less than 2 years old",European Union - 25 countries (2004-2006),"[2013, 2014, 2015, 2016, 2017, 2018, 2019]",apro_mt_lscatl
"Bovine animals, 1 to less than 2 years old",European Union - 27 countries (2007-2013),"[2013, 2014, 2015, 2016, 2017, 2018, 2019]",apro_mt_lscatl
"Bovine animals, 1 to less than 2 years old",European Union - 27 countries (from 2020),"[2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",apro_mt_lscatl
"Bovine animals, 1 to less than 2 years old",European Union - 28 countries (2013-2020),"[2013, 2014, 2015, 2016, 2017, 2018, 2019]",apro_mt_lscatl
"Bovine animals, 1 to less than 2 years old",Finland,"[2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",apro_mt_lscatl
"Bovine animals, 1 to less than 2 years old",France,"[2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",apro_mt_lscatl
"Bovine animals, 1 to less than 2 years old",Germany (until 1990 former territory of the FRG),"[2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",apro_mt_lscatl
"Bovine animals, 1 to less than 2 years old",Greece,"[2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",apro_mt_lscatl
"Bovine animals, 1 to less than 2 years old",Hungary,"[2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",apro_mt_lscatl
"Bovine animals, 1 to less than 2 years old",Iceland,"[2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020]",apro_mt_lscatl
"Bovine animals, 1 to less than 2 years old",Ireland,"[2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",apro_mt_lscatl
"Bovine animals, 1 to less than 2 years old",Italy,"[2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",apro_mt_lscatl
"Bovine animals, 1 to less than 2 years old",Kosovo (under United Nations Security Council Resolution 1244/99),"[2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",apro_mt_lscatl
"Bovine animals, 1 to less than 2 years old",Latvia,"[2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",apro_mt_lscatl
"Bovine animals, 1 to less than 2 years old",Lithuania,"[2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",apro_mt_lscatl
"Bovine animals, 1 to less than 2 years old",Luxembourg,"[2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",apro_mt_lscatl
"Bovine animals, 1 to less than 2 years old",Malta,"[2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",apro_mt_lscatl
"Bovine animals, 1 to less than 2 years old",Montenegro,"[2013, 2014, 2015, 2016, 2017, 2018, 2019]",apro_mt_lscatl
"Bovine animals, 1 to less than 2 years old",Netherlands,"[2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",apro_mt_lscatl
"Bovine animals, 1 to less than 2 years old",North Macedonia,"[2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",apro_mt_lscatl
"Bovine animals, 1 to less than 2 years old",Poland,"[2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",apro_mt_lscatl
"Bovine animals, 1 to less than 2 years old",Portugal,"[2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",apro_mt_lscatl
"Bovine animals, 1 to less than 2 years old",Romania,"[2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",apro_mt_lscatl
"Bovine animals, 1 to less than 2 years old",Serbia,"[2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",apro_mt_lscatl
"Bovine animals, 1 to less than 2 years old",Slovakia,"[2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",apro_mt_lscatl
"Bovine animals, 1 to less than 2 years old",Slovenia,"[2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",apro_mt_lscatl
"Bovine animals, 1 to less than 2 years old",Spain,"[2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",apro_mt_lscatl
"Bovine animals, 1 to less than 2 years old",Sweden,"[2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",apro_mt_lscatl
"Bovine animals, 1 to less than 2 years old",Switzerland,"[2015, 2016, 2017, 2018, 2019, 2020, 2021]",apro_mt_lscatl
"Bovine animals, 1 to less than 2 years old",Turkey,"[2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",apro_mt_lscatl
"Bovine animals, 1 to less than 2 years old",United Kingdom,"[2013, 2014, 2015, 2016, 2017, 2018, 2019]",apro_mt_lscatl
"Bovine animals, less than 1 year old",Albania,"[2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",apro_mt_lscatl
"Bovine animals, less than 1 year old",Austria,"[2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",apro_mt_lscatl
"Bovine animals, less than 1 year old",Belgium,"[2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",apro_mt_lscatl
"Bovine animals, less than 1 year old",Bosnia and Herzegovina,"[2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020]",apro_mt_lscatl
"Bovine animals, less than 1 year old",Bulgaria,"[2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",apro_mt_lscatl
"Bovine animals, less than 1 year old",Croatia,"[2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",apro_mt_lscatl
"Bovine animals, less than 1 year old",Cyprus,"[2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",apro_mt_lscatl
"Bovine animals, less than 1 year old",Czechia,"[2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",apro_mt_lscatl
"Bovine animals, less than 1 year old",Denmark,"[2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",apro_mt_lscatl
"Bovine animals, less than 1 year old",Estonia,"[2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",apro_mt_lscatl
"Bovine animals, less than 1 year old",European Union - 15 countries (1995-2004),"[2013, 2014, 2015, 2016, 2017, 2018, 2019]",apro_mt_lscatl
"Bovine animals, less than 1 year old",European Union - 25 countries (2004-2006),"[2013, 2014, 2015, 2016, 2017, 2018, 2019]",apro_mt_lscatl
"Bovine animals, less than 1 year old",European Union - 27 countries (2007-2013),"[2013, 2014, 2015, 2016, 2017, 2018, 2019]",apro_mt_lscatl
"Bovine animals, less than 1 year old",European Union - 27 countries (from 2020),"[2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",apro_mt_lscatl
"Bovine animals, less than 1 year old",European Union - 28 countries (2013-2020),"[2013, 2014, 2015, 2016, 2017, 2018, 2019]",apro_mt_lscatl
"Bovine animals, less than 1 year old",Finland,"[2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",apro_mt_lscatl
"Bovine animals, less than 1 year old",France,"[2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",apro_mt_lscatl
"Bovine animals, less than 1 year old",Germany (until 1990 former territory of the FRG),"[2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",apro_mt_lscatl
"Bovine animals, less than 1 year old",Greece,"[2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",apro_mt_lscatl
"Bovine animals, less than 1 year old",Hungary,"[2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",apro_mt_lscatl
"Bovine animals, less than 1 year old",Iceland,"[2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020]",apro_mt_lscatl
"Bovine animals, less than 1 year old",Ireland,"[2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",apro_mt_lscatl
"Bovine animals, less than 1 year old",Italy,"[2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",apro_mt_lscatl
"Bovine animals, less than 1 year old",Kosovo (under United Nations Security Council Resolution 1244/99),"[2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",apro_mt_lscatl
"Bovine animals, less than 1 year old",Latvia,"[2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",apro_mt_lscatl
"Bovine animals, less than 1 year old",Lithuania,"[2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",apro_mt_lscatl
"Bovine animals, less than 1 year old",Luxembourg,"[2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",apro_mt_lscatl
