"TIME","GEO","ANIMALS","UNIT","Value","Flag and Footnotes"
"1988","European Community - 12 countries (1986-1994)","Live horses, asses, mules and hinnies","Thousand heads (animals)",":",""
"1988","European Community - 12 countries (1986-1994)","Live horses","Thousand heads (animals)",":",""
"1988","European Community - 12 countries (1986-1994)","Live asses, mules and hinnies","Thousand heads (animals)",":",""
"1988","European Community - 10 countries (1981-1985)","Live horses, asses, mules and hinnies","Thousand heads (animals)","1,689.01",""
"1988","European Community - 10 countries (1981-1985)","Live horses","Thousand heads (animals)",":",""
"1988","European Community - 10 countries (1981-1985)","Live asses, mules and hinnies","Thousand heads (animals)","418.14",""
"1988","European Community - 9 countries (1973-1980)","Live horses, asses, mules and hinnies","Thousand heads (animals)","1,380.59",""
"1988","European Community - 9 countries (1973-1980)","Live horses","Thousand heads (animals)",":",""
"1988","European Community - 9 countries (1973-1980)","Live asses, mules and hinnies","Thousand heads (animals)","175.14",""
"1988","Belgium","Live horses, asses, mules and hinnies","Thousand heads (animals)","22.14",""
"1988","Belgium","Live horses","Thousand heads (animals)","22.14",""
"1988","Belgium","Live asses, mules and hinnies","Thousand heads (animals)","0.00",""
"1988","Bulgaria","Live horses, asses, mules and hinnies","Thousand heads (animals)",":",""
"1988","Bulgaria","Live horses","Thousand heads (animals)",":",""
"1988","Bulgaria","Live asses, mules and hinnies","Thousand heads (animals)",":",""
"1988","Czechia","Live horses, asses, mules and hinnies","Thousand heads (animals)",":",""
"1988","Czechia","Live horses","Thousand heads (animals)",":",""
"1988","Czechia","Live asses, mules and hinnies","Thousand heads (animals)",":",""
"1988","Denmark","Live horses, asses, mules and hinnies","Thousand heads (animals)","34.00",""
"1988","Denmark","Live horses","Thousand heads (animals)","34.00",""
"1988","Denmark","Live asses, mules and hinnies","Thousand heads (animals)","0.00",""
"1988","Germany (until 1990 former territory of the FRG)","Live horses, asses, mules and hinnies","Thousand heads (animals)",":",""
"1988","Germany (until 1990 former territory of the FRG)","Live horses","Thousand heads (animals)",":",""
"1988","Germany (until 1990 former territory of the FRG)","Live asses, mules and hinnies","Thousand heads (animals)",":",""
"1988","Federal Republic of Germany (former territory of the FRG only)","Live horses, asses, mules and hinnies","Thousand heads (animals)","374.95",""
"1988","Federal Republic of Germany (former territory of the FRG only)","Live horses","Thousand heads (animals)",":",""
"1988","Federal Republic of Germany (former territory of the FRG only)","Live asses, mules and hinnies","Thousand heads (animals)","0.00",""
"1988","Ireland","Live horses, asses, mules and hinnies","Thousand heads (animals)","54.50",""
"1988","Ireland","Live horses","Thousand heads (animals)","20.10",""
"1988","Ireland","Live asses, mules and hinnies","Thousand heads (animals)","34.40",""
"1988","Greece","Live horses, asses, mules and hinnies","Thousand heads (animals)","308.43",""
"1988","Greece","Live horses","Thousand heads (animals)","65.43",""
"1988","Greece","Live asses, mules and hinnies","Thousand heads (animals)","243.00",""
"1988","Spain","Live horses, asses, mules and hinnies","Thousand heads (animals)","505.00",""
"1988","Spain","Live horses","Thousand heads (animals)","248.00",""
"1988","Spain","Live asses, mules and hinnies","Thousand heads (animals)","257.00",""
"1988","France","Live horses, asses, mules and hinnies","Thousand heads (animals)","330.80",""
"1988","France","Live horses","Thousand heads (animals)","318.10",""
"1988","France","Live asses, mules and hinnies","Thousand heads (animals)","12.70",""
"1988","Croatia","Live horses, asses, mules and hinnies","Thousand heads (animals)",":",""
"1988","Croatia","Live horses","Thousand heads (animals)",":",""
"1988","Croatia","Live asses, mules and hinnies","Thousand heads (animals)",":",""
"1988","Italy","Live horses, asses, mules and hinnies","Thousand heads (animals)","348.24",""
"1988","Italy","Live horses","Thousand heads (animals)","220.20",""
"1988","Italy","Live asses, mules and hinnies","Thousand heads (animals)","128.04",""
"1988","Latvia","Live horses, asses, mules and hinnies","Thousand heads (animals)",":",""
"1988","Latvia","Live horses","Thousand heads (animals)",":",""
"1988","Latvia","Live asses, mules and hinnies","Thousand heads (animals)",":",""
"1988","Lithuania","Live horses, asses, mules and hinnies","Thousand heads (animals)",":",""
"1988","Lithuania","Live horses","Thousand heads (animals)",":",""
"1988","Lithuania","Live asses, mules and hinnies","Thousand heads (animals)",":",""
"1988","Luxembourg","Live horses, asses, mules and hinnies","Thousand heads (animals)","2.65",""
"1988","Luxembourg","Live horses","Thousand heads (animals)","2.65",""
"1988","Luxembourg","Live asses, mules and hinnies","Thousand heads (animals)","0.00",""
"1988","Hungary","Live horses, asses, mules and hinnies","Thousand heads (animals)",":",""
"1988","Hungary","Live horses","Thousand heads (animals)",":",""
"1988","Hungary","Live asses, mules and hinnies","Thousand heads (animals)",":",""
"1988","Netherlands","Live horses, asses, mules and hinnies","Thousand heads (animals)","68.30",""
"1988","Netherlands","Live horses","Thousand heads (animals)","68.30",""
"1988","Netherlands","Live asses, mules and hinnies","Thousand heads (animals)","0.00",""
"1988","Poland","Live horses, asses, mules and hinnies","Thousand heads (animals)",":",""
"1988","Poland","Live horses","Thousand heads (animals)",":",""
"1988","Poland","Live asses, mules and hinnies","Thousand heads (animals)",":",""
"1988","Portugal","Live horses, asses, mules and hinnies","Thousand heads (animals)","145.00",""
"1988","Portugal","Live horses","Thousand heads (animals)","25.00",""
"1988","Portugal","Live asses, mules and hinnies","Thousand heads (animals)","120.00",""
"1988","Romania","Live horses, asses, mules and hinnies","Thousand heads (animals)",":",""
"1988","Romania","Live horses","Thousand heads (animals)",":",""
"1988","Romania","Live asses, mules and hinnies","Thousand heads (animals)",":",""
"1988","Slovenia","Live horses, asses, mules and hinnies","Thousand heads (animals)",":",""
"1988","Slovenia","Live horses","Thousand heads (animals)",":",""
"1988","Slovenia","Live asses, mules and hinnies","Thousand heads (animals)",":",""
