animals,geo,time,tablename
"Live asses, mules and hinnies",Belgium,"[1988, 1989, 1990, 1991, 1992]",apro_mt_lsequi
"Live asses, mules and hinnies",Denmark,"[1988, 1989, 1990]",apro_mt_lsequi
"Live asses, mules and hinnies",European Community - 10 countries (1981-1985),"[1988, 1989, 1990]",apro_mt_lsequi
"Live asses, mules and hinnies",European Community - 12 countries (1986-1994),[1990],apro_mt_lsequi
"Live asses, mules and hinnies",European Community - 9 countries (1973-1980),"[1988, 1989, 1990]",apro_mt_lsequi
"Live asses, mules and hinnies",Federal Republic of Germany (former territory of the FRG only),"[1988, 1989, 1990]",apro_mt_lsequi
"Live asses, mules and hinnies",France,"[1988, 1989, 1990, 1991]",apro_mt_lsequi
"Live asses, mules and hinnies",Germany (until 1990 former territory of the FRG),"[1990, 1991, 1992, 1993, 1994, 1995, 1996]",apro_mt_lsequi
"Live asses, mules and hinnies",Greece,"[1988, 1989, 1990]",apro_mt_lsequi
"Live asses, mules and hinnies",Ireland,"[1988, 1989, 1990]",apro_mt_lsequi
"Live asses, mules and hinnies",Italy,"[1988, 1989, 1990]",apro_mt_lsequi
"Live asses, mules and hinnies",Luxembourg,"[1988, 1989, 1990]",apro_mt_lsequi
"Live asses, mules and hinnies",Netherlands,"[1988, 1989, 1990, 1991, 1992, 1993]",apro_mt_lsequi
"Live asses, mules and hinnies",Portugal,"[1988, 1989, 1990]",apro_mt_lsequi
"Live asses, mules and hinnies",Spain,"[1988, 1989, 1990]",apro_mt_lsequi
"Live asses, mules and hinnies",United Kingdom,"[1988, 1989, 1990]",apro_mt_lsequi
Live horses,Belgium,"[1988, 1989, 1990, 1991, 1992]",apro_mt_lsequi
Live horses,Denmark,"[1988, 1989, 1990]",apro_mt_lsequi
Live horses,European Community - 12 countries (1986-1994),[1990],apro_mt_lsequi
Live horses,France,"[1988, 1989, 1990, 1991]",apro_mt_lsequi
Live horses,Germany (until 1990 former territory of the FRG),"[1990, 1991, 1992, 1993, 1994, 1995, 1996]",apro_mt_lsequi
Live horses,Greece,"[1988, 1989, 1990]",apro_mt_lsequi
Live horses,Ireland,"[1988, 1989, 1990]",apro_mt_lsequi
Live horses,Italy,"[1988, 1989, 1990]",apro_mt_lsequi
Live horses,Luxembourg,"[1988, 1989, 1990]",apro_mt_lsequi
Live horses,Netherlands,"[1988, 1989, 1990, 1991, 1992, 1993]",apro_mt_lsequi
Live horses,Portugal,"[1988, 1989, 1990]",apro_mt_lsequi
Live horses,Spain,"[1988, 1989, 1990]",apro_mt_lsequi
Live horses,United Kingdom,"[1988, 1989, 1990]",apro_mt_lsequi
"Live horses, asses, mules and hinnies",Albania,"[1990, 1991, 1992, 1993, 1994, 1995, 1996, 1997]",apro_mt_lsequi
"Live horses, asses, mules and hinnies",Belgium,"[1988, 1989, 1990, 1991, 1992]",apro_mt_lsequi
"Live horses, asses, mules and hinnies",Bulgaria,"[1990, 1991, 1992, 1993, 1994, 1995, 1996, 1997]",apro_mt_lsequi
"Live horses, asses, mules and hinnies",Croatia,"[1990, 1991, 1992, 1993, 1994, 1995, 1996, 1997]",apro_mt_lsequi
"Live horses, asses, mules and hinnies",Czechia,"[1990, 1991, 1992, 1993, 1994, 1995, 1996, 1997]",apro_mt_lsequi
"Live horses, asses, mules and hinnies",Denmark,"[1988, 1989, 1990]",apro_mt_lsequi
"Live horses, asses, mules and hinnies",European Community - 10 countries (1981-1985),"[1988, 1989, 1990]",apro_mt_lsequi
"Live horses, asses, mules and hinnies",European Community - 12 countries (1986-1994),[1990],apro_mt_lsequi
"Live horses, asses, mules and hinnies",European Community - 9 countries (1973-1980),"[1988, 1989, 1990]",apro_mt_lsequi
"Live horses, asses, mules and hinnies",Federal Republic of Germany (former territory of the FRG only),"[1988, 1989, 1990]",apro_mt_lsequi
"Live horses, asses, mules and hinnies",France,"[1988, 1989, 1990, 1991]",apro_mt_lsequi
"Live horses, asses, mules and hinnies",Germany (until 1990 former territory of the FRG),"[1990, 1991, 1992, 1993, 1994, 1995, 1996]",apro_mt_lsequi
"Live horses, asses, mules and hinnies",Greece,"[1988, 1989, 1990]",apro_mt_lsequi
"Live horses, asses, mules and hinnies",Hungary,"[1990, 1991, 1992, 1993, 1994, 1995, 1996]",apro_mt_lsequi
"Live horses, asses, mules and hinnies",Ireland,"[1988, 1989, 1990]",apro_mt_lsequi
"Live horses, asses, mules and hinnies",Italy,"[1988, 1989, 1990]",apro_mt_lsequi
"Live horses, asses, mules and hinnies",Latvia,"[1990, 1991, 1992, 1993, 1994, 1995, 1996, 1997]",apro_mt_lsequi
"Live horses, asses, mules and hinnies",Lithuania,"[1990, 1991, 1992, 1993, 1994, 1995, 1996, 1997]",apro_mt_lsequi
"Live horses, asses, mules and hinnies",Luxembourg,"[1988, 1989, 1990]",apro_mt_lsequi
"Live horses, asses, mules and hinnies",Netherlands,"[1988, 1989, 1990, 1991, 1992, 1993]",apro_mt_lsequi
"Live horses, asses, mules and hinnies",North Macedonia,"[1990, 1991, 1992, 1993, 1994, 1995, 1996, 1997]",apro_mt_lsequi
