animals,geo,time,tablename
Goats having already kidded,Albania,"[2015, 2016, 2017, 2018, 2019, 2020, 2021]",apro_mt_lsgoat
Goats having already kidded,Belgium,[2013],apro_mt_lsgoat
Goats having already kidded,Bosnia and Herzegovina,"[2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020]",apro_mt_lsgoat
Goats having already kidded,Bulgaria,"[2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",apro_mt_lsgoat
Goats having already kidded,Croatia,"[2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",apro_mt_lsgoat
Goats having already kidded,Cyprus,"[2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020]",apro_mt_lsgoat
Goats having already kidded,France,"[2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",apro_mt_lsgoat
Goats having already kidded,Greece,"[2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",apro_mt_lsgoat
Goats having already kidded,Hungary,"[2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",apro_mt_lsgoat
Goats having already kidded,Iceland,"[2012, 2013, 2016, 2017, 2018, 2019, 2020, 2021]",apro_mt_lsgoat
Goats having already kidded,Ireland,"[2013, 2014]",apro_mt_lsgoat
Goats having already kidded,Italy,"[2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",apro_mt_lsgoat
Goats having already kidded,Kosovo (under United Nations Security Council Resolution 1244/99),"[2015, 2016, 2017, 2018, 2019, 2020]",apro_mt_lsgoat
Goats having already kidded,Lithuania,"[2013, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",apro_mt_lsgoat
Goats having already kidded,Malta,"[2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",apro_mt_lsgoat
Goats having already kidded,Montenegro,"[2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019]",apro_mt_lsgoat
Goats having already kidded,Netherlands,"[2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",apro_mt_lsgoat
Goats having already kidded,North Macedonia,"[2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",apro_mt_lsgoat
Goats having already kidded,Poland,[2012],apro_mt_lsgoat
Goats having already kidded,Portugal,"[2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",apro_mt_lsgoat
Goats having already kidded,Romania,"[2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",apro_mt_lsgoat
Goats having already kidded,Serbia,"[2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",apro_mt_lsgoat
Goats having already kidded,Slovakia,"[2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019]",apro_mt_lsgoat
Goats having already kidded,Spain,"[2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",apro_mt_lsgoat
Goats having already kidded,Sweden,"[2012, 2013, 2014]",apro_mt_lsgoat
Goats having already kidded,Turkey,"[2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",apro_mt_lsgoat
Goats having already kidded,United Kingdom,"[2012, 2013]",apro_mt_lsgoat
Goats mated and having already kidded,Albania,"[2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",apro_mt_lsgoat
Goats mated and having already kidded,Austria,"[2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",apro_mt_lsgoat
Goats mated and having already kidded,Belgium,"[2013, 2016]",apro_mt_lsgoat
Goats mated and having already kidded,Bosnia and Herzegovina,"[2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020]",apro_mt_lsgoat
Goats mated and having already kidded,Bulgaria,"[2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",apro_mt_lsgoat
Goats mated and having already kidded,Croatia,"[2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",apro_mt_lsgoat
Goats mated and having already kidded,Cyprus,"[2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020]",apro_mt_lsgoat
Goats mated and having already kidded,France,"[2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",apro_mt_lsgoat
Goats mated and having already kidded,Greece,"[2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",apro_mt_lsgoat
Goats mated and having already kidded,Hungary,"[2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",apro_mt_lsgoat
Goats mated and having already kidded,Iceland,"[2012, 2013, 2016, 2017, 2018, 2019, 2020, 2021]",apro_mt_lsgoat
Goats mated and having already kidded,Ireland,"[2013, 2014]",apro_mt_lsgoat
Goats mated and having already kidded,Italy,"[2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",apro_mt_lsgoat
Goats mated and having already kidded,Kosovo (under United Nations Security Council Resolution 1244/99),"[2015, 2016, 2017, 2018, 2019, 2020]",apro_mt_lsgoat
Goats mated and having already kidded,Latvia,"[2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",apro_mt_lsgoat
Goats mated and having already kidded,Lithuania,"[2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",apro_mt_lsgoat
Goats mated and having already kidded,Malta,"[2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",apro_mt_lsgoat
Goats mated and having already kidded,Montenegro,"[2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019]",apro_mt_lsgoat
Goats mated and having already kidded,Netherlands,"[2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",apro_mt_lsgoat
Goats mated and having already kidded,North Macedonia,"[2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",apro_mt_lsgoat
Goats mated and having already kidded,Poland,[2012],apro_mt_lsgoat
Goats mated and having already kidded,Portugal,"[2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",apro_mt_lsgoat
Goats mated and having already kidded,Romania,"[2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",apro_mt_lsgoat
Goats mated and having already kidded,Serbia,"[2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",apro_mt_lsgoat
Goats mated and having already kidded,Slovakia,"[2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019]",apro_mt_lsgoat
Goats mated and having already kidded,Spain,"[2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",apro_mt_lsgoat
Goats mated and having already kidded,Sweden,"[2012, 2013, 2014]",apro_mt_lsgoat
Goats mated and having already kidded,Turkey,"[2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",apro_mt_lsgoat
Goats mated and having already kidded,United Kingdom,"[2012, 2013]",apro_mt_lsgoat
Goats mated for the first time,Albania,"[2015, 2016, 2017, 2018, 2019, 2020, 2021]",apro_mt_lsgoat
Goats mated for the first time,Belgium,[2013],apro_mt_lsgoat
Goats mated for the first time,Bosnia and Herzegovina,"[2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020]",apro_mt_lsgoat
Goats mated for the first time,Bulgaria,"[2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",apro_mt_lsgoat
Goats mated for the first time,Croatia,"[2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",apro_mt_lsgoat
Goats mated for the first time,Cyprus,"[2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020]",apro_mt_lsgoat
Goats mated for the first time,France,"[2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",apro_mt_lsgoat
Goats mated for the first time,Greece,"[2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",apro_mt_lsgoat
Goats mated for the first time,Hungary,"[2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",apro_mt_lsgoat
Goats mated for the first time,Iceland,"[2012, 2013, 2016, 2017, 2018, 2019, 2020, 2021]",apro_mt_lsgoat
Goats mated for the first time,Ireland,"[2013, 2014]",apro_mt_lsgoat
Goats mated for the first time,Italy,"[2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",apro_mt_lsgoat
Goats mated for the first time,Kosovo (under United Nations Security Council Resolution 1244/99),"[2015, 2016, 2017, 2018, 2019, 2020]",apro_mt_lsgoat
Goats mated for the first time,Lithuania,"[2013, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",apro_mt_lsgoat
Goats mated for the first time,Malta,"[2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",apro_mt_lsgoat
Goats mated for the first time,Montenegro,"[2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019]",apro_mt_lsgoat
Goats mated for the first time,Netherlands,"[2017, 2018, 2019, 2020, 2021]",apro_mt_lsgoat
Goats mated for the first time,North Macedonia,"[2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",apro_mt_lsgoat
Goats mated for the first time,Poland,[2012],apro_mt_lsgoat
Goats mated for the first time,Portugal,"[2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",apro_mt_lsgoat
Goats mated for the first time,Romania,"[2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",apro_mt_lsgoat
Goats mated for the first time,Serbia,"[2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",apro_mt_lsgoat
Goats mated for the first time,Slovakia,"[2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019]",apro_mt_lsgoat
Goats mated for the first time,Spain,"[2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",apro_mt_lsgoat
Goats mated for the first time,Sweden,"[2012, 2013, 2014]",apro_mt_lsgoat
Goats mated for the first time,Turkey,"[2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",apro_mt_lsgoat
Goats mated for the first time,United Kingdom,"[2012, 2013]",apro_mt_lsgoat
Live goats,Albania,"[2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",apro_mt_lsgoat
Live goats,Austria,"[2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",apro_mt_lsgoat
Live goats,Belgium,"[2012, 2013, 2015, 2016, 2019]",apro_mt_lsgoat
Live goats,Bosnia and Herzegovina,"[2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020]",apro_mt_lsgoat
Live goats,Bulgaria,"[2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",apro_mt_lsgoat
Live goats,Croatia,"[2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",apro_mt_lsgoat
Live goats,Cyprus,"[2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020]",apro_mt_lsgoat
Live goats,Czechia,"[2015, 2019]",apro_mt_lsgoat
Live goats,Denmark,"[2015, 2019]",apro_mt_lsgoat
Live goats,Estonia,"[2015, 2019]",apro_mt_lsgoat
Live goats,European Union - 15 countries (1995-2004),"[2015, 2019]",apro_mt_lsgoat
Live goats,European Union - 25 countries (2004-2006),"[2015, 2019]",apro_mt_lsgoat
Live goats,European Union - 27 countries (2007-2013),"[2015, 2019]",apro_mt_lsgoat
Live goats,European Union - 27 countries (from 2020),"[2012, 2013, 2014, 2015, 2016, 2017, 2019]",apro_mt_lsgoat
Live goats,European Union - 28 countries (2013-2020),"[2015, 2019]",apro_mt_lsgoat
Live goats,Finland,"[2015, 2019]",apro_mt_lsgoat
Live goats,France,"[2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",apro_mt_lsgoat
Live goats,Germany (until 1990 former territory of the FRG),"[2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",apro_mt_lsgoat
Live goats,Greece,"[2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",apro_mt_lsgoat
Live goats,Hungary,"[2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",apro_mt_lsgoat
Live goats,Iceland,"[2012, 2013, 2016, 2017, 2018, 2019, 2020, 2021]",apro_mt_lsgoat
Live goats,Ireland,"[2013, 2014, 2015, 2019]",apro_mt_lsgoat
Live goats,Italy,"[2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",apro_mt_lsgoat
Live goats,Kosovo (under United Nations Security Council Resolution 1244/99),"[2015, 2016, 2017, 2018, 2019, 2020]",apro_mt_lsgoat
Live goats,Latvia,"[2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",apro_mt_lsgoat
Live goats,Lithuania,"[2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",apro_mt_lsgoat
Live goats,Luxembourg,"[2015, 2019]",apro_mt_lsgoat
Live goats,Malta,"[2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",apro_mt_lsgoat
Live goats,Montenegro,"[2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019]",apro_mt_lsgoat
Live goats,Netherlands,"[2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",apro_mt_lsgoat
Live goats,North Macedonia,"[2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",apro_mt_lsgoat
Live goats,Poland,"[2012, 2015, 2019]",apro_mt_lsgoat
Live goats,Portugal,"[2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",apro_mt_lsgoat
Live goats,Romania,"[2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",apro_mt_lsgoat
Live goats,Serbia,"[2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",apro_mt_lsgoat
Live goats,Slovakia,"[2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019]",apro_mt_lsgoat
Live goats,Slovenia,"[2015, 2019]",apro_mt_lsgoat
Live goats,Spain,"[2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",apro_mt_lsgoat
Live goats,Sweden,"[2012, 2013, 2014, 2015, 2019]",apro_mt_lsgoat
Live goats,Turkey,"[2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",apro_mt_lsgoat
Live goats,United Kingdom,"[2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019]",apro_mt_lsgoat
Other goats,Albania,"[2015, 2016, 2017, 2018, 2019, 2020, 2021]",apro_mt_lsgoat
Other goats,Austria,"[2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",apro_mt_lsgoat
Other goats,Belgium,"[2013, 2016]",apro_mt_lsgoat
Other goats,Bosnia and Herzegovina,"[2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020]",apro_mt_lsgoat
Other goats,Bulgaria,"[2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",apro_mt_lsgoat
Other goats,Croatia,"[2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",apro_mt_lsgoat
Other goats,Cyprus,"[2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020]",apro_mt_lsgoat
Other goats,France,"[2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",apro_mt_lsgoat
Other goats,Greece,"[2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",apro_mt_lsgoat
Other goats,Hungary,"[2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",apro_mt_lsgoat
Other goats,Iceland,"[2012, 2013, 2016, 2017, 2018, 2019, 2020, 2021]",apro_mt_lsgoat
Other goats,Ireland,"[2013, 2014]",apro_mt_lsgoat
Other goats,Italy,"[2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",apro_mt_lsgoat
Other goats,Kosovo (under United Nations Security Council Resolution 1244/99),"[2015, 2016, 2017, 2018, 2019, 2020]",apro_mt_lsgoat
Other goats,Latvia,"[2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",apro_mt_lsgoat
Other goats,Lithuania,"[2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",apro_mt_lsgoat
Other goats,Malta,"[2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",apro_mt_lsgoat
Other goats,Montenegro,"[2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019]",apro_mt_lsgoat
Other goats,Netherlands,"[2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",apro_mt_lsgoat
Other goats,North Macedonia,"[2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",apro_mt_lsgoat
