"TIME","GEO","ANIMALS","MONTH","UNIT","Value","Flag and Footnotes"
"2013","European Union - 27 countries (from 2020)","Live swine, domestic species","December","Thousand heads (animals)","141,858.51",""
"2013","European Union - 27 countries (from 2020)","Piglets, live weight of under 20 kg","December","Thousand heads (animals)","39,702.68",""
"2013","European Union - 27 countries (from 2020)","Breeding pigs","December","Thousand heads (animals)","12,236.29",""
"2013","European Union - 27 countries (from 2020)","Breeding sows, live weight 50 kg or over","December","Thousand heads (animals)","12,028.62",""
"2013","European Union - 27 countries (from 2020)","Covered sows","December","Thousand heads (animals)","8,211.76",""
"2013","European Union - 28 countries (2013-2020)","Live swine, domestic species","December","Thousand heads (animals)","146,241.51",""
"2013","European Union - 28 countries (2013-2020)","Piglets, live weight of under 20 kg","December","Thousand heads (animals)","40,827.68",""
"2013","European Union - 28 countries (2013-2020)","Breeding pigs","December","Thousand heads (animals)","12,733.29",""
"2013","European Union - 28 countries (2013-2020)","Breeding sows, live weight 50 kg or over","December","Thousand heads (animals)","12,510.62",""
"2013","European Union - 28 countries (2013-2020)","Covered sows","December","Thousand heads (animals)","8,544.76",""
"2013","European Union - 27 countries (2007-2013)","Live swine, domestic species","December","Thousand heads (animals)","145,131.51",""
"2013","European Union - 27 countries (2007-2013)","Piglets, live weight of under 20 kg","December","Thousand heads (animals)","40,486.68",""
"2013","European Union - 27 countries (2007-2013)","Breeding pigs","December","Thousand heads (animals)","12,606.29",""
"2013","European Union - 27 countries (2007-2013)","Breeding sows, live weight 50 kg or over","December","Thousand heads (animals)","12,386.62",""
"2013","European Union - 27 countries (2007-2013)","Covered sows","December","Thousand heads (animals)","8,508.76",""
"2013","European Union - 25 countries (2004-2006)","Live swine, domestic species","December","Thousand heads (animals)","139,364.89",""
"2013","European Union - 25 countries (2004-2006)","Piglets, live weight of under 20 kg","December","Thousand heads (animals)","39,574.91",""
"2013","European Union - 25 countries (2004-2006)","Breeding pigs","December","Thousand heads (animals)","12,156.93",""
"2013","European Union - 25 countries (2004-2006)","Breeding sows, live weight 50 kg or over","December","Thousand heads (animals)","11,947.43",""
"2013","European Union - 25 countries (2004-2006)","Covered sows","December","Thousand heads (animals)","8,240.91",""
