animals,geo,time,tablename
Breeding pigs,Albania,"[2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",apro_mt_lspig
Breeding pigs,Austria,"[2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",apro_mt_lspig
Breeding pigs,Belgium,"[2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",apro_mt_lspig
Breeding pigs,Bosnia and Herzegovina,"[2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020]",apro_mt_lspig
Breeding pigs,Bulgaria,"[2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",apro_mt_lspig
Breeding pigs,Croatia,"[2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",apro_mt_lspig
Breeding pigs,Cyprus,"[2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",apro_mt_lspig
Breeding pigs,Czechia,"[2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",apro_mt_lspig
Breeding pigs,Denmark,"[2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",apro_mt_lspig
Breeding pigs,Estonia,"[2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",apro_mt_lspig
Breeding pigs,European Union - 15 countries (1995-2004),"[2013, 2014, 2015, 2016, 2017, 2018, 2019]",apro_mt_lspig
Breeding pigs,European Union - 25 countries (2004-2006),"[2013, 2014, 2015, 2016, 2017, 2018, 2019]",apro_mt_lspig
Breeding pigs,European Union - 27 countries (2007-2013),"[2013, 2014, 2015, 2016, 2017, 2018, 2019]",apro_mt_lspig
Breeding pigs,European Union - 27 countries (from 2020),"[2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",apro_mt_lspig
Breeding pigs,European Union - 28 countries (2013-2020),"[2013, 2014, 2015, 2016, 2017, 2018, 2019]",apro_mt_lspig
Breeding pigs,Finland,"[2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",apro_mt_lspig
Breeding pigs,France,"[2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",apro_mt_lspig
Breeding pigs,Germany (until 1990 former territory of the FRG),"[2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",apro_mt_lspig
Breeding pigs,Greece,"[2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",apro_mt_lspig
Breeding pigs,Hungary,"[2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",apro_mt_lspig
Breeding pigs,Iceland,"[2013, 2014, 2015, 2016, 2017, 2018, 2019]",apro_mt_lspig
Breeding pigs,Ireland,"[2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",apro_mt_lspig
Breeding pigs,Italy,"[2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",apro_mt_lspig
Breeding pigs,Kosovo (under United Nations Security Council Resolution 1244/99),"[2015, 2016, 2017, 2018, 2019, 2020]",apro_mt_lspig
Breeding pigs,Latvia,"[2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",apro_mt_lspig
Breeding pigs,Lithuania,"[2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",apro_mt_lspig
Breeding pigs,Luxembourg,"[2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",apro_mt_lspig
Breeding pigs,Malta,"[2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",apro_mt_lspig
Breeding pigs,Montenegro,"[2013, 2014, 2015, 2016, 2017, 2018, 2019]",apro_mt_lspig
Breeding pigs,Netherlands,"[2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",apro_mt_lspig
Breeding pigs,North Macedonia,"[2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",apro_mt_lspig
Breeding pigs,Poland,"[2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",apro_mt_lspig
Breeding pigs,Portugal,"[2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",apro_mt_lspig
Breeding pigs,Romania,"[2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",apro_mt_lspig
Breeding pigs,Serbia,"[2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",apro_mt_lspig
Breeding pigs,Slovakia,"[2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",apro_mt_lspig
Breeding pigs,Slovenia,"[2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",apro_mt_lspig
Breeding pigs,Spain,"[2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",apro_mt_lspig
Breeding pigs,Sweden,"[2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",apro_mt_lspig
Breeding pigs,Switzerland,"[2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020]",apro_mt_lspig
Breeding pigs,United Kingdom,"[2013, 2014, 2015, 2016, 2017, 2018, 2019]",apro_mt_lspig
"Breeding sows, live weight 50 kg or over",Albania,"[2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",apro_mt_lspig
"Breeding sows, live weight 50 kg or over",Austria,"[2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",apro_mt_lspig
"Breeding sows, live weight 50 kg or over",Belgium,"[2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",apro_mt_lspig
