"TIME","GEO","MONTH","ANIMALS","UNIT","Value","Flag and Footnotes"
"2012","European Union - 27 countries (from 2020)","December","Live sheep","Thousand heads (animals)","63,237.00","e"
"2012","European Union - 27 countries (from 2020)","December","Ewes and ewe-lambs put to the ram","Thousand heads (animals)",":",""
"2012","European Union - 27 countries (from 2020)","December","Milk ewes and ewe-lambs put to the ram","Thousand heads (animals)",":",""
"2012","European Union - 27 countries (from 2020)","December","Non milk ewes and ewe-lambs put to the ram","Thousand heads (animals)",":",""
"2012","European Union - 27 countries (from 2020)","December","Other sheep","Thousand heads (animals)",":",""
"2012","European Union - 28 countries (2013-2020)","December","Live sheep","Thousand heads (animals)",":",""
"2012","European Union - 28 countries (2013-2020)","December","Ewes and ewe-lambs put to the ram","Thousand heads (animals)",":",""
"2012","European Union - 28 countries (2013-2020)","December","Milk ewes and ewe-lambs put to the ram","Thousand heads (animals)",":",""
"2012","European Union - 28 countries (2013-2020)","December","Non milk ewes and ewe-lambs put to the ram","Thousand heads (animals)",":",""
"2012","European Union - 28 countries (2013-2020)","December","Other sheep","Thousand heads (animals)",":",""
"2012","European Union - 27 countries (2007-2013)","December","Live sheep","Thousand heads (animals)",":",""
"2012","European Union - 27 countries (2007-2013)","December","Ewes and ewe-lambs put to the ram","Thousand heads (animals)",":",""
"2012","European Union - 27 countries (2007-2013)","December","Milk ewes and ewe-lambs put to the ram","Thousand heads (animals)",":",""
"2012","European Union - 27 countries (2007-2013)","December","Non milk ewes and ewe-lambs put to the ram","Thousand heads (animals)",":",""
"2012","European Union - 27 countries (2007-2013)","December","Other sheep","Thousand heads (animals)",":",""
"2012","European Union - 25 countries (2004-2006)","December","Live sheep","Thousand heads (animals)",":",""
"2012","European Union - 25 countries (2004-2006)","December","Ewes and ewe-lambs put to the ram","Thousand heads (animals)",":",""
"2012","European Union - 25 countries (2004-2006)","December","Milk ewes and ewe-lambs put to the ram","Thousand heads (animals)",":",""
"2012","European Union - 25 countries (2004-2006)","December","Non milk ewes and ewe-lambs put to the ram","Thousand heads (animals)",":",""
"2012","European Union - 25 countries (2004-2006)","December","Other sheep","Thousand heads (animals)",":",""
"2012","European Union - 15 countries (1995-2004)","December","Live sheep","Thousand heads (animals)",":",""
"2012","European Union - 15 countries (1995-2004)","December","Ewes and ewe-lambs put to the ram","Thousand heads (animals)",":",""
"2012","European Union - 15 countries (1995-2004)","December","Milk ewes and ewe-lambs put to the ram","Thousand heads (animals)",":",""
"2012","European Union - 15 countries (1995-2004)","December","Non milk ewes and ewe-lambs put to the ram","Thousand heads (animals)",":",""
"2012","European Union - 15 countries (1995-2004)","December","Other sheep","Thousand heads (animals)",":",""
"2012","Belgium","December","Live sheep","Thousand heads (animals)","119.26",""
"2012","Belgium","December","Ewes and ewe-lambs put to the ram","Thousand heads (animals)","0.00",""
"2012","Belgium","December","Milk ewes and ewe-lambs put to the ram","Thousand heads (animals)","0.00",""
"2012","Belgium","December","Non milk ewes and ewe-lambs put to the ram","Thousand heads (animals)","0.00",""
"2012","Belgium","December","Other sheep","Thousand heads (animals)","0.00",""
"2012","Bulgaria","December","Live sheep","Thousand heads (animals)","1,361.55",""
"2012","Bulgaria","December","Ewes and ewe-lambs put to the ram","Thousand heads (animals)","1,143.79",""
"2012","Bulgaria","December","Milk ewes and ewe-lambs put to the ram","Thousand heads (animals)","1,058.14",""
"2012","Bulgaria","December","Non milk ewes and ewe-lambs put to the ram","Thousand heads (animals)","85.65",""
"2012","Bulgaria","December","Other sheep","Thousand heads (animals)","217.75",""
"2012","Czechia","December","Live sheep","Thousand heads (animals)",":",""
"2012","Czechia","December","Ewes and ewe-lambs put to the ram","Thousand heads (animals)",":",""
"2012","Czechia","December","Milk ewes and ewe-lambs put to the ram","Thousand heads (animals)",":",""
"2012","Czechia","December","Non milk ewes and ewe-lambs put to the ram","Thousand heads (animals)",":",""
"2012","Czechia","December","Other sheep","Thousand heads (animals)",":",""
"2012","Denmark","December","Live sheep","Thousand heads (animals)",":",""
"2012","Denmark","December","Ewes and ewe-lambs put to the ram","Thousand heads (animals)",":",""
"2012","Denmark","December","Milk ewes and ewe-lambs put to the ram","Thousand heads (animals)",":",""
"2012","Denmark","December","Non milk ewes and ewe-lambs put to the ram","Thousand heads (animals)",":",""
"2012","Denmark","December","Other sheep","Thousand heads (animals)",":",""
"2012","Germany (until 1990 former territory of the FRG)","December","Live sheep","Thousand heads (animals)","1,641.01",""
"2012","Germany (until 1990 former territory of the FRG)","December","Ewes and ewe-lambs put to the ram","Thousand heads (animals)","1,170.34",""
"2012","Germany (until 1990 former territory of the FRG)","December","Milk ewes and ewe-lambs put to the ram","Thousand heads (animals)","11.85",""
"2012","Germany (until 1990 former territory of the FRG)","December","Non milk ewes and ewe-lambs put to the ram","Thousand heads (animals)","1,158.49",""
"2012","Germany (until 1990 former territory of the FRG)","December","Other sheep","Thousand heads (animals)","470.68",""
"2012","Estonia","December","Live sheep","Thousand heads (animals)",":",""
"2012","Estonia","December","Ewes and ewe-lambs put to the ram","Thousand heads (animals)",":",""
"2012","Estonia","December","Milk ewes and ewe-lambs put to the ram","Thousand heads (animals)",":",""
"2012","Estonia","December","Non milk ewes and ewe-lambs put to the ram","Thousand heads (animals)",":",""
"2012","Estonia","December","Other sheep","Thousand heads (animals)",":",""
"2012","Ireland","December","Live sheep","Thousand heads (animals)","3,430.33",""
"2012","Ireland","December","Ewes and ewe-lambs put to the ram","Thousand heads (animals)","2,500.90",""
"2012","Ireland","December","Milk ewes and ewe-lambs put to the ram","Thousand heads (animals)","0.00",""
"2012","Ireland","December","Non milk ewes and ewe-lambs put to the ram","Thousand heads (animals)","2,500.90",""
"2012","Ireland","December","Other sheep","Thousand heads (animals)","929.43",""
