animals,geo,time,tablename
Ewes and ewe-lambs put to the ram,Albania,"[2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",apro_mt_lssheep
Ewes and ewe-lambs put to the ram,Austria,"[2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",apro_mt_lssheep
Ewes and ewe-lambs put to the ram,Belgium,"[2012, 2013, 2016]",apro_mt_lssheep
Ewes and ewe-lambs put to the ram,Bosnia and Herzegovina,"[2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020]",apro_mt_lssheep
Ewes and ewe-lambs put to the ram,Bulgaria,"[2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",apro_mt_lssheep
Ewes and ewe-lambs put to the ram,Croatia,"[2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",apro_mt_lssheep
Ewes and ewe-lambs put to the ram,Cyprus,"[2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020]",apro_mt_lssheep
Ewes and ewe-lambs put to the ram,France,"[2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",apro_mt_lssheep
Ewes and ewe-lambs put to the ram,Germany (until 1990 former territory of the FRG),"[2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",apro_mt_lssheep
Ewes and ewe-lambs put to the ram,Greece,"[2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",apro_mt_lssheep
Ewes and ewe-lambs put to the ram,Hungary,"[2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",apro_mt_lssheep
Ewes and ewe-lambs put to the ram,Iceland,"[2012, 2013, 2016, 2017, 2018, 2019, 2020, 2021]",apro_mt_lssheep
Ewes and ewe-lambs put to the ram,Ireland,"[2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",apro_mt_lssheep
Ewes and ewe-lambs put to the ram,Italy,"[2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",apro_mt_lssheep
Ewes and ewe-lambs put to the ram,Kosovo (under United Nations Security Council Resolution 1244/99),"[2015, 2016, 2017, 2018, 2019, 2020]",apro_mt_lssheep
Ewes and ewe-lambs put to the ram,Latvia,"[2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",apro_mt_lssheep
Ewes and ewe-lambs put to the ram,Lithuania,"[2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",apro_mt_lssheep
Ewes and ewe-lambs put to the ram,Malta,"[2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",apro_mt_lssheep
Ewes and ewe-lambs put to the ram,Montenegro,"[2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019]",apro_mt_lssheep
Ewes and ewe-lambs put to the ram,Netherlands,"[2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",apro_mt_lssheep
