Time frequency,species,Unit of measure,area,year,value
Annual,Laying hens,Thousand heads (animals),France,1960,54800.0
Annual,Laying hens,Thousand heads (animals),Luxembourg,1960,400.0
Annual,Laying hens,Thousand heads (animals),Netherlands,1960,28695.0
Annual,Laying hens,Thousand heads (animals),Belgium,1960,15340.0
Annual,Laying hens,Thousand heads (animals),Belgium,1961,17333.0
Annual,Laying hens,Thousand heads (animals),Luxembourg,1961,220.0
Annual,Laying hens,Thousand heads (animals),France,1961,57400.0
Annual,Laying hens,Thousand heads (animals),Netherlands,1961,29995.0
Annual,Laying hens,Thousand heads (animals),Netherlands,1962,30000.0
Annual,Laying hens,Thousand heads (animals),France,1962,58800.0
Annual,Laying hens,Thousand heads (animals),Luxembourg,1962,234.0
Annual,Laying hens,Thousand heads (animals),Belgium,1962,16540.0
Annual,Laying hens,Thousand heads (animals),Belgium,1963,15590.0
Annual,Laying hens,Thousand heads (animals),Netherlands,1963,26970.0
Annual,Laying hens,Thousand heads (animals),France,1963,59200.0
Annual,Laying hens,Thousand heads (animals),Luxembourg,1963,232.0
Annual,Laying hens,Thousand heads (animals),France,1964,61300.0
Annual,Laying hens,Thousand heads (animals),Belgium,1964,15785.0
Annual,Laying hens,Thousand heads (animals),Netherlands,1964,24495.0
Annual,Laying hens,Thousand heads (animals),Luxembourg,1964,246.0
Annual,Laying hens,Thousand heads (animals),United Kingdom,1965,73662.0
Annual,Laying hens,Thousand heads (animals),France,1965,61200.0
Annual,Laying hens,Thousand heads (animals),Ireland,1965,4700.0
Annual,Laying hens,Thousand heads (animals),Denmark,1965,6870.0
Annual,Laying hens,Thousand heads (animals),Belgium,1965,13736.0
Annual,Laying hens,Thousand heads (animals),Netherlands,1965,20451.0
Annual,Laying hens,Thousand heads (animals),Luxembourg,1965,241.0
Annual,Laying hens,Thousand heads (animals),Denmark,1966,6917.0
Annual,Laying hens,Thousand heads (animals),France,1966,61000.0
Annual,Laying hens,Thousand heads (animals),Ireland,1966,4700.0
Annual,Laying hens,Thousand heads (animals),Belgium,1966,13360.0
Annual,Laying hens,Thousand heads (animals),United Kingdom,1966,72763.0
Annual,Laying hens,Thousand heads (animals),Netherlands,1966,19733.0
Annual,Laying hens,Thousand heads (animals),Luxembourg,1966,242.0
Annual,Laying hens,Thousand heads (animals),Denmark,1967,6521.0
Annual,Laying hens,Thousand heads (animals),United Kingdom,1967,73662.0
Annual,Laying hens,Thousand heads (animals),Netherlands,1967,17241.0
Annual,Laying hens,Thousand heads (animals),Ireland,1967,4700.0
Annual,Laying hens,Thousand heads (animals),France,1967,63300.0
Annual,Laying hens,Thousand heads (animals),Belgium,1967,14067.0
Annual,Laying hens,Thousand heads (animals),Luxembourg,1967,239.0
Annual,Laying hens,Thousand heads (animals),Luxembourg,1968,255.0
Annual,Laying hens,Thousand heads (animals),Ireland,1968,4700.0
Annual,Laying hens,Thousand heads (animals),Netherlands,1968,17959.0
Annual,Laying hens,Thousand heads (animals),Belgium,1968,16380.0
Annual,Laying hens,Thousand heads (animals),France,1968,61600.0
Annual,Laying hens,Thousand heads (animals),United Kingdom,1968,73155.0
Annual,Laying hens,Thousand heads (animals),Denmark,1968,6330.0
Annual,Laying hens,Thousand heads (animals),Luxembourg,1969,256.0
Annual,Laying hens,Thousand heads (animals),Ireland,1969,4700.0
Annual,Laying hens,Thousand heads (animals),Belgium,1969,18812.0
Annual,Laying hens,Thousand heads (animals),Netherlands,1969,19431.0
Annual,Laying hens,Thousand heads (animals),United Kingdom,1969,72580.0
Annual,Laying hens,Thousand heads (animals),France,1969,61200.0
Annual,Laying hens,Thousand heads (animals),Denmark,1969,6687.0
Annual,Laying hens,Thousand heads (animals),Luxembourg,1970,222.0
Annual,Laying hens,Thousand heads (animals),Italy,1970,59053.0
Annual,Laying hens,Thousand heads (animals),United Kingdom,1970,72377.0
Annual,Laying hens,Thousand heads (animals),France,1970,62200.0
Annual,Laying hens,Thousand heads (animals),Belgium,1970,19417.0
Annual,Laying hens,Thousand heads (animals),Denmark,1970,6330.0
Annual,Laying hens,Thousand heads (animals),Netherlands,1970,20273.0
Annual,Laying hens,Thousand heads (animals),Ireland,1970,4667.0
Annual,Laying hens,Thousand heads (animals),Belgium,1971,17525.0
Annual,Laying hens,Thousand heads (animals),France,1971,61300.0
Annual,Laying hens,Thousand heads (animals),Denmark,1971,5483.0
Annual,Laying hens,Thousand heads (animals),United Kingdom,1971,71354.0
Annual,Laying hens,Thousand heads (animals),Luxembourg,1971,206.0
Annual,Laying hens,Thousand heads (animals),Ireland,1971,4536.0
Annual,Laying hens,Thousand heads (animals),Italy,1971,49416.0
Annual,Laying hens,Thousand heads (animals),Netherlands,1971,19430.0
Annual,Laying hens,Thousand heads (animals),Belgium,1972,17485.0
Annual,Laying hens,Thousand heads (animals),Netherlands,1972,19263.0
Annual,Laying hens,Thousand heads (animals),Luxembourg,1972,199.0
Annual,Laying hens,Thousand heads (animals),France,1972,61700.0
Annual,Laying hens,Thousand heads (animals),Denmark,1972,5738.0
Annual,Laying hens,Thousand heads (animals),Ireland,1972,4386.0
Annual,Laying hens,Thousand heads (animals),Italy,1972,50326.0
Annual,Laying hens,Thousand heads (animals),United Kingdom,1972,69620.0
Annual,Laying hens,Thousand heads (animals),Greece,1973,16157.0
Annual,Laying hens,Thousand heads (animals),Luxembourg,1973,0.0
Annual,Laying hens,Thousand heads (animals),Denmark,1973,5278.0
Annual,Laying hens,Thousand heads (animals),Belgium,1973,16272.0
Annual,Laying hens,Thousand heads (animals),Ireland,1973,4112.0
Annual,Laying hens,Thousand heads (animals),United Kingdom,1973,65531.0
Annual,Laying hens,Thousand heads (animals),France,1973,66300.0
Annual,Laying hens,Thousand heads (animals),Netherlands,1973,19911.0
Annual,Laying hens,Thousand heads (animals),Italy,1973,50049.0
Annual,Laying hens,Thousand heads (animals),Denmark,1974,5287.0
Annual,Laying hens,Thousand heads (animals),Luxembourg,1974,0.0
Annual,Laying hens,Thousand heads (animals),France,1974,66300.0
Annual,Laying hens,Thousand heads (animals),Ireland,1974,4072.0
Annual,Laying hens,Thousand heads (animals),Greece,1974,16567.0
Annual,Laying hens,Thousand heads (animals),United Kingdom,1974,64434.0
Annual,Laying hens,Thousand heads (animals),Belgium,1974,16182.0
Annual,Laying hens,Thousand heads (animals),Italy,1974,52511.0
Annual,Laying hens,Thousand heads (animals),Netherlands,1974,20033.0
Annual,Laying hens,Thousand heads (animals),Italy,1975,51182.0
Annual,Laying hens,Thousand heads (animals),Netherlands,1975,22158.0
Annual,Laying hens,Thousand heads (animals),Greece,1975,16353.0
Annual,Laying hens,Thousand heads (animals),Ireland,1975,3612.0
Annual,Laying hens,Thousand heads (animals),Luxembourg,1975,0.0
Annual,Laying hens,Thousand heads (animals),Denmark,1975,5466.0
Annual,Laying hens,Thousand heads (animals),United Kingdom,1975,62541.0
Annual,Laying hens,Thousand heads (animals),France,1975,68000.0
Annual,Laying hens,Thousand heads (animals),Belgium,1975,16068.0
Annual,Laying hens,Thousand heads (animals),France,1976,67650.0
Annual,Laying hens,Thousand heads (animals),Belgium,1976,15782.0
Annual,Laying hens,Thousand heads (animals),United Kingdom,1976,62180.0
Annual,Laying hens,Thousand heads (animals),Italy,1976,51383.0
Annual,Laying hens,Thousand heads (animals),Ireland,1976,3458.8
Annual,Laying hens,Thousand heads (animals),Luxembourg,1976,0.0
Annual,Laying hens,Thousand heads (animals),Netherlands,1976,22825.0
Annual,Laying hens,Thousand heads (animals),Greece,1976,15830.0
Annual,Laying hens,Thousand heads (animals),Denmark,1976,4675.0
Annual,Laying hens,Thousand heads (animals),Denmark,1977,4507.0
Annual,Laying hens,Thousand heads (animals),Netherlands,1977,23598.0
Annual,Laying hens,Thousand heads (animals),United Kingdom,1977,61880.0
Annual,Laying hens,Thousand heads (animals),Belgium,1977,15439.0
Annual,Laying hens,Thousand heads (animals),Ireland,1977,3387.0
Annual,Laying hens,Thousand heads (animals),France,1977,66300.0
Annual,Laying hens,Thousand heads (animals),Italy,1977,51452.0
Annual,Laying hens,Thousand heads (animals),Luxembourg,1977,0.0
Annual,Laying hens,Thousand heads (animals),Greece,1977,16804.0
Annual,Laying hens,Thousand heads (animals),Denmark,1978,4669.0
Annual,Laying hens,Thousand heads (animals),United Kingdom,1978,62990.0
Annual,Laying hens,Thousand heads (animals),France,1978,69180.0
