Time frequency,species,Unit of measure,area,year,value
Annual,"Live asses, mules and hinnies",Thousand heads (animals),France,1960,143.0
Annual,"Live horses, asses, mules and hinnies",Thousand heads (animals),France,1960,1872.0
Annual,Live horses,Thousand heads (animals),France,1960,1729.0
Annual,"Live horses, asses, mules and hinnies",Thousand heads (animals),France,1961,1744.0
Annual,"Live asses, mules and hinnies",Thousand heads (animals),France,1961,127.0
Annual,Live horses,Thousand heads (animals),France,1961,1617.0
Annual,"Live horses, asses, mules and hinnies",Thousand heads (animals),France,1962,1636.0
Annual,"Live asses, mules and hinnies",Thousand heads (animals),France,1962,110.0
Annual,Live horses,Thousand heads (animals),France,1962,1526.0
Annual,"Live asses, mules and hinnies",Thousand heads (animals),Italy,1963,701.0
Annual,Live horses,Thousand heads (animals),Belgium,1963,132.0
Annual,"Live horses, asses, mules and hinnies",Thousand heads (animals),France,1963,1458.0
Annual,"Live horses, asses, mules and hinnies",Thousand heads (animals),Italy,1963,1049.0
Annual,"Live horses, asses, mules and hinnies",Thousand heads (animals),Belgium,1963,132.0
Annual,Live horses,Thousand heads (animals),Denmark,1963,81.0
Annual,"Live asses, mules and hinnies",Thousand heads (animals),Belgium,1963,0.0
Annual,"Live horses, asses, mules and hinnies",Thousand heads (animals),Greece,1963,1006.0
Annual,"Live asses, mules and hinnies",Thousand heads (animals),Federal Republic of Germany (former territory of the FRG only),1963,0.0
Annual,Live horses,Thousand heads (animals),France,1963,1357.0
Annual,Live horses,Thousand heads (animals),Netherlands,1963,144.0
Annual,"Live asses, mules and hinnies",Thousand heads (animals),France,1963,101.0
Annual,"Live horses, asses, mules and hinnies",Thousand heads (animals),Federal Republic of Germany (former territory of the FRG only),1963,493.0
Annual,"Live asses, mules and hinnies",Thousand heads (animals),Netherlands,1963,0.0
Annual,"Live horses, asses, mules and hinnies",Thousand heads (animals),Luxembourg,1963,3.0
Annual,"Live asses, mules and hinnies",Thousand heads (animals),United Kingdom,1963,0.0
Annual,"Live asses, mules and hinnies",Thousand heads (animals),Denmark,1963,0.0
Annual,"Live asses, mules and hinnies",Thousand heads (animals),Luxembourg,1963,0.0
Annual,Live horses,Thousand heads (animals),Luxembourg,1963,3.0
Annual,"Live horses, asses, mules and hinnies",Thousand heads (animals),Denmark,1963,81.0
Annual,Live horses,Thousand heads (animals),Italy,1963,348.0
Annual,"Live horses, asses, mules and hinnies",Thousand heads (animals),Netherlands,1963,144.0
Annual,Live horses,Thousand heads (animals),Luxembourg,1964,3.0
Annual,"Live horses, asses, mules and hinnies",Thousand heads (animals),Denmark,1964,64.0
Annual,"Live horses, asses, mules and hinnies",Thousand heads (animals),Federal Republic of Germany (former territory of the FRG only),1964,417.0
Annual,Live horses,Thousand heads (animals),Italy,1964,341.0
Annual,Live horses,Thousand heads (animals),France,1964,1228.0
Annual,"Live horses, asses, mules and hinnies",Thousand heads (animals),Greece,1964,981.0
Annual,"Live asses, mules and hinnies",Thousand heads (animals),United Kingdom,1964,0.0
Annual,"Live asses, mules and hinnies",Thousand heads (animals),Belgium,1964,0.0
Annual,"Live horses, asses, mules and hinnies",Thousand heads (animals),Belgium,1964,120.0
Annual,Live horses,Thousand heads (animals),Belgium,1964,120.0
Annual,"Live horses, asses, mules and hinnies",Thousand heads (animals),Italy,1964,1029.0
Annual,"Live asses, mules and hinnies",Thousand heads (animals),France,1964,94.0
Annual,Live horses,Thousand heads (animals),Netherlands,1964,135.0
Annual,"Live asses, mules and hinnies",Thousand heads (animals),Luxembourg,1964,0.0
Annual,"Live asses, mules and hinnies",Thousand heads (animals),Italy,1964,688.0
Annual,"Live asses, mules and hinnies",Thousand heads (animals),Netherlands,1964,0.0
Annual,"Live asses, mules and hinnies",Thousand heads (animals),Federal Republic of Germany (former territory of the FRG only),1964,0.0
Annual,"Live horses, asses, mules and hinnies",Thousand heads (animals),Luxembourg,1964,3.0
Annual,"Live horses, asses, mules and hinnies",Thousand heads (animals),Netherlands,1964,135.0
Annual,Live horses,Thousand heads (animals),Denmark,1964,64.0
Annual,"Live asses, mules and hinnies",Thousand heads (animals),Denmark,1964,0.0
Annual,"Live horses, asses, mules and hinnies",Thousand heads (animals),France,1964,1322.0
Annual,"Live horses, asses, mules and hinnies",Thousand heads (animals),Netherlands,1965,113.0
Annual,Live horses,Thousand heads (animals),Italy,1965,331.0
Annual,"Live asses, mules and hinnies",Thousand heads (animals),Luxembourg,1965,0.0
Annual,"Live asses, mules and hinnies",Thousand heads (animals),United Kingdom,1965,0.0
Annual,"Live asses, mules and hinnies",Thousand heads (animals),Denmark,1965,0.0
Annual,"Live horses, asses, mules and hinnies",Thousand heads (animals),Luxembourg,1965,2.0
Annual,"Live horses, asses, mules and hinnies",Thousand heads (animals),Denmark,1965,53.0
Annual,Live horses,Thousand heads (animals),Luxembourg,1965,2.0
Annual,Live horses,Thousand heads (animals),France,1965,1114.0
Annual,"Live asses, mules and hinnies",Thousand heads (animals),Netherlands,1965,0.0
Annual,"Live asses, mules and hinnies",Thousand heads (animals),Italy,1965,627.0
Annual,Live horses,Thousand heads (animals),Belgium,1965,109.0
Annual,"Live horses, asses, mules and hinnies",Thousand heads (animals),Italy,1965,958.0
Annual,"Live asses, mules and hinnies",Thousand heads (animals),Federal Republic of Germany (former territory of the FRG only),1965,0.0
Annual,"Live asses, mules and hinnies",Thousand heads (animals),Belgium,1965,0.0
Annual,Live horses,Thousand heads (animals),Greece,1965,294.0
Annual,Live horses,Thousand heads (animals),Denmark,1965,53.0
Annual,"Live horses, asses, mules and hinnies",Thousand heads (animals),France,1965,1198.0
Annual,"Live horses, asses, mules and hinnies",Thousand heads (animals),Federal Republic of Germany (former territory of the FRG only),1965,360.0
Annual,"Live asses, mules and hinnies",Thousand heads (animals),Greece,1965,654.0
