Time frequency,Month,species,Unit of measure,area,year,value
Annual,December,Live goats,Thousand heads (animals),Luxembourg,1960,0.0
Annual,December,Live goats,Thousand heads (animals),Netherlands,1960,15.0
Annual,December,Live goats,Thousand heads (animals),United Kingdom,1960,13.0
Annual,December,Live goats,Thousand heads (animals),Denmark,1960,0.0
Annual,December,Live goats,Thousand heads (animals),France,1960,1172.0
Annual,December,Live goats,Thousand heads (animals),Ireland,1960,0.0
Annual,December,Live goats,Thousand heads (animals),Germany (until 1990 former territory of the FRG),1960,352.0
Annual,December,Live goats,Thousand heads (animals),France,1961,1176.0
Annual,December,Live goats,Thousand heads (animals),Netherlands,1961,15.0
Annual,December,Live goats,Thousand heads (animals),Germany (until 1990 former territory of the FRG),1961,292.0
Annual,December,Live goats,Thousand heads (animals),Luxembourg,1961,0.0
Annual,December,Live goats,Thousand heads (animals),United Kingdom,1961,13.0
Annual,December,Live goats,Thousand heads (animals),Denmark,1961,0.0
Annual,December,Live goats,Thousand heads (animals),Ireland,1961,0.0
Annual,December,Live goats,Thousand heads (animals),Netherlands,1962,15.0
Annual,December,Live goats,Thousand heads (animals),Luxembourg,1962,0.0
Annual,December,Live goats,Thousand heads (animals),Germany (until 1990 former territory of the FRG),1962,235.0
Annual,December,Live goats,Thousand heads (animals),France,1962,1124.0
Annual,December,Live goats,Thousand heads (animals),United Kingdom,1962,13.0
Annual,December,Live goats,Thousand heads (animals),Ireland,1962,0.0
Annual,December,Live goats,Thousand heads (animals),Denmark,1962,0.0
Annual,December,Live goats,Thousand heads (animals),France,1963,1069.0
Annual,December,Live goats,Thousand heads (animals),Belgium,1963,3.0
Annual,December,Live goats,Thousand heads (animals),Ireland,1963,0.0
Annual,December,Live goats,Thousand heads (animals),Luxembourg,1963,0.0
Annual,December,Live goats,Thousand heads (animals),Denmark,1963,0.0
Annual,December,Live goats,Thousand heads (animals),United Kingdom,1963,13.0
Annual,December,Live goats,Thousand heads (animals),Germany (until 1990 former territory of the FRG),1963,189.0
Annual,December,Live goats,Thousand heads (animals),Italy,1963,1236.0
Annual,December,Live goats,Thousand heads (animals),Greece,1963,4153.0
Annual,December,Live goats,Thousand heads (animals),Netherlands,1963,15.0
Annual,December,Live goats,Thousand heads (animals),Denmark,1964,0.0
Annual,December,Live goats,Thousand heads (animals),United Kingdom,1964,13.0
Annual,December,Live goats,Thousand heads (animals),Italy,1964,1228.0
Annual,December,Live goats,Thousand heads (animals),France,1964,1041.0
Annual,December,Live goats,Thousand heads (animals),Ireland,1964,0.0
Annual,December,Live goats,Thousand heads (animals),Netherlands,1964,15.0
Annual,December,Live goats,Thousand heads (animals),Belgium,1964,3.0
Annual,December,Live goats,Thousand heads (animals),Luxembourg,1964,0.0
Annual,December,Live goats,Thousand heads (animals),Germany (until 1990 former territory of the FRG),1964,150.0
Annual,December,Live goats,Thousand heads (animals),Greece,1964,3990.0
Annual,December,Live goats,Thousand heads (animals),Netherlands,1965,15.0
Annual,December,Live goats,Thousand heads (animals),Luxembourg,1965,0.0
Annual,December,Live goats,Thousand heads (animals),United Kingdom,1965,12.0
Annual,December,Live goats,Thousand heads (animals),Germany (until 1990 former territory of the FRG),1965,122.0
Annual,December,Live goats,Thousand heads (animals),Denmark,1965,0.0
Annual,December,Live goats,Thousand heads (animals),Greece,1965,3895.0
Annual,December,Live goats,Thousand heads (animals),Belgium,1965,3.0
Annual,December,Live goats,Thousand heads (animals),Italy,1965,1139.0
Annual,December,Live goats,Thousand heads (animals),France,1965,1014.0
Annual,December,Live goats,Thousand heads (animals),Ireland,1965,0.0
Annual,December,Live goats,Thousand heads (animals),Denmark,1966,0.0
Annual,December,Live goats,Thousand heads (animals),Germany (until 1990 former territory of the FRG),1966,105.0
Annual,December,Live goats,Thousand heads (animals),Italy,1966,1140.0
Annual,December,Live goats,Thousand heads (animals),France,1966,1017.0
Annual,December,Live goats,Thousand heads (animals),United Kingdom,1966,12.0
Annual,December,Live goats,Thousand heads (animals),Netherlands,1966,14.0
Annual,December,Live goats,Thousand heads (animals),Belgium,1966,3.0
Annual,December,Live goats,Thousand heads (animals),Luxembourg,1966,0.0
Annual,December,Live goats,Thousand heads (animals),Ireland,1966,0.0
Annual,December,Live goats,Thousand heads (animals),Greece,1966,3945.0
Annual,December,Live goats,Thousand heads (animals),Netherlands,1967,14.0
Annual,December,Live goats,Thousand heads (animals),Ireland,1967,0.0
Annual,December,Live goats,Thousand heads (animals),Belgium,1967,3.0
Annual,December,Live goats,Thousand heads (animals),Germany (until 1990 former territory of the FRG),1967,89.0
Annual,December,Live goats,Thousand heads (animals),Greece,1967,4042.0
Annual,December,Live goats,Thousand heads (animals),Denmark,1967,0.0
Annual,December,Live goats,Thousand heads (animals),Italy,1967,1124.0
Annual,December,Live goats,Thousand heads (animals),United Kingdom,1967,12.0
Annual,December,Live goats,Thousand heads (animals),France,1967,924.0
Annual,December,Live goats,Thousand heads (animals),Luxembourg,1967,0.0
Annual,December,Live goats,Thousand heads (animals),Italy,1968,1045.0
Annual,December,Live goats,Thousand heads (animals),Denmark,1968,0.0
Annual,December,Live goats,Thousand heads (animals),Luxembourg,1968,0.0
Annual,December,Live goats,Thousand heads (animals),France,1968,919.0
Annual,December,Live goats,Thousand heads (animals),Netherlands,1968,14.0
Annual,December,Live goats,Thousand heads (animals),Ireland,1968,0.0
Annual,December,Live goats,Thousand heads (animals),Greece,1968,4005.0
Annual,December,Live goats,Thousand heads (animals),Germany (until 1990 former territory of the FRG),1968,75.0
Annual,December,Live goats,Thousand heads (animals),United Kingdom,1968,12.0
Annual,December,Live goats,Thousand heads (animals),Belgium,1968,2.0
Annual,December,Live goats,Thousand heads (animals),Luxembourg,1969,0.0
Annual,December,Live goats,Thousand heads (animals),Ireland,1969,0.0
Annual,December,Live goats,Thousand heads (animals),Greece,1969,4054.0
Annual,December,Live goats,Thousand heads (animals),Italy,1969,1031.0
Annual,December,Live goats,Thousand heads (animals),United Kingdom,1969,12.0
Annual,December,Live goats,Thousand heads (animals),Denmark,1969,0.0
Annual,December,Live goats,Thousand heads (animals),Netherlands,1969,13.0
Annual,December,Live goats,Thousand heads (animals),Germany (until 1990 former territory of the FRG),1969,60.0
Annual,December,Live goats,Thousand heads (animals),Belgium,1969,3.0
Annual,December,Live goats,Thousand heads (animals),France,1969,925.0
Annual,December,Live goats,Thousand heads (animals),United Kingdom,1970,12.0
Annual,December,Live goats,Thousand heads (animals),Greece,1970,4130.0
Annual,December,Live goats,Thousand heads (animals),Belgium,1970,3.0
Annual,December,Live goats,Thousand heads (animals),Luxembourg,1970,0.0
Annual,December,Live goats,Thousand heads (animals),Ireland,1970,0.0
Annual,December,Live goats,Thousand heads (animals),Germany (until 1990 former territory of the FRG),1970,50.0
Annual,December,Live goats,Thousand heads (animals),Denmark,1970,0.0
Annual,December,Live goats,Thousand heads (animals),France,1970,882.0
Annual,December,Live goats,Thousand heads (animals),Netherlands,1970,13.0
Annual,December,Live goats,Thousand heads (animals),Italy,1970,1019.0
Annual,December,Live goats,Thousand heads (animals),Italy,1971,976.0
Annual,December,Live goats,Thousand heads (animals),Ireland,1971,0.0
Annual,December,Live goats,Thousand heads (animals),France,1971,885.0
Annual,December,Live goats,Thousand heads (animals),Luxembourg,1971,0.0
Annual,December,Live goats,Thousand heads (animals),Greece,1971,4185.0
Annual,December,Live goats,Thousand heads (animals),United Kingdom,1971,12.0
Annual,December,Live goats,Thousand heads (animals),Belgium,1971,3.0
Annual,December,Live goats,Thousand heads (animals),Germany (until 1990 former territory of the FRG),1971,43.0
Annual,December,Live goats,Thousand heads (animals),Denmark,1971,0.0
Annual,December,Live goats,Thousand heads (animals),Netherlands,1971,13.0
Annual,December,Live goats,Thousand heads (animals),Ireland,1972,0.0
Annual,December,Live goats,Thousand heads (animals),Belgium,1972,3.0
Annual,December,Live goats,Thousand heads (animals),Netherlands,1972,13.0
Annual,December,Live goats,Thousand heads (animals),France,1972,899.0
Annual,December,Live goats,Thousand heads (animals),Luxembourg,1972,0.0
Annual,December,Live goats,Thousand heads (animals),Greece,1972,4261.0
Annual,December,Live goats,Thousand heads (animals),Italy,1972,950.0
Annual,December,Live goats,Thousand heads (animals),Denmark,1972,0.0
Annual,December,Live goats,Thousand heads (animals),United Kingdom,1972,72.0
Annual,December,Live goats,Thousand heads (animals),Germany (until 1990 former territory of the FRG),1972,40.0
Annual,December,Live goats,Thousand heads (animals),Germany (until 1990 former territory of the FRG),1973,38.0
Annual,December,Live goats,Thousand heads (animals),Luxembourg,1973,0.0
Annual,December,Live goats,Thousand heads (animals),United Kingdom,1973,13.0
Annual,December,Live goats,Thousand heads (animals),Belgium,1973,4.0
Annual,December,Live goats,Thousand heads (animals),Greece,1973,4471.7
Annual,December,Live goats,Thousand heads (animals),Ireland,1973,0.0
Annual,December,Live goats,Thousand heads (animals),Netherlands,1973,13.0
Annual,December,Live goats,Thousand heads (animals),Italy,1973,948.0
Annual,December,Live goats,Thousand heads (animals),France,1973,923.0
Annual,December,Live goats,Thousand heads (animals),Denmark,1973,0.0
Annual,December,Live goats,Thousand heads (animals),Germany (until 1990 former territory of the FRG),1974,38.0
Annual,December,Live goats,Thousand heads (animals),Belgium,1974,4.0
Annual,December,Live goats,Thousand heads (animals),Ireland,1974,0.0
Annual,December,Live goats,Thousand heads (animals),Netherlands,1974,13.0
Annual,December,Live goats,Thousand heads (animals),Greece,1974,4476.06
Annual,December,Live goats,Thousand heads (animals),Denmark,1974,0.0
Annual,December,Live goats,Thousand heads (animals),Luxembourg,1974,0.0
Annual,December,Live goats,Thousand heads (animals),United Kingdom,1974,13.0
Annual,December,Live goats,Thousand heads (animals),France,1974,959.0
Annual,December,Live goats,Thousand heads (animals),Italy,1974,958.0
Annual,December,Live goats,Thousand heads (animals),Belgium,1975,5.0
Annual,December,Live goats,Thousand heads (animals),United Kingdom,1975,13.0
Annual,December,Live goats,Thousand heads (animals),Greece,1975,4607.72
Annual,December,Live goats,Thousand heads (animals),Ireland,1975,0.0
