Time frequency,Month,species,Unit of measure,area,year,value
Annual,December,Live sheep,Thousand heads (animals),Germany (until 1990 former territory of the FRG),1960,1037.0
Annual,December,Live sheep,Thousand heads (animals),Greece,1960,9353.0
Annual,December,Live sheep,Thousand heads (animals),France,1960,9063.0
Annual,December,Live sheep,Thousand heads (animals),Ireland,1960,3106.0
Annual,December,Live sheep,Thousand heads (animals),Denmark,1960,44.0
Annual,December,Live sheep,Thousand heads (animals),Netherlands,1960,456.0
Annual,December,Live sheep,Thousand heads (animals),Italy,1960,8231.0
Annual,December,Live sheep,Thousand heads (animals),Greece,1961,8962.0
Annual,December,Live sheep,Thousand heads (animals),France,1961,8929.0
Annual,December,Live sheep,Thousand heads (animals),Ireland,1961,3376.0
Annual,December,Live sheep,Thousand heads (animals),Netherlands,1961,438.0
Annual,December,Live sheep,Thousand heads (animals),Germany (until 1990 former territory of the FRG),1961,1011.0
Annual,December,Live sheep,Thousand heads (animals),Italy,1961,8065.0
Annual,December,Live sheep,Thousand heads (animals),Denmark,1961,47.0
Annual,December,Live sheep,Thousand heads (animals),Italy,1962,7857.0
Annual,December,Live sheep,Thousand heads (animals),Ireland,1962,3333.0
Annual,December,Live sheep,Thousand heads (animals),Denmark,1962,52.0
Annual,December,Live sheep,Thousand heads (animals),Netherlands,1962,482.0
Annual,December,Live sheep,Thousand heads (animals),France,1962,8945.0
Annual,December,Live sheep,Thousand heads (animals),Germany (until 1990 former territory of the FRG),1962,981.0
Annual,December,Live sheep,Thousand heads (animals),Greece,1962,8899.0
Annual,December,Live sheep,Thousand heads (animals),Denmark,1963,61.0
Annual,December,Live sheep,Thousand heads (animals),Netherlands,1963,468.0
Annual,December,Live sheep,Thousand heads (animals),Belgium,1963,58.0
Annual,December,Live sheep,Thousand heads (animals),Ireland,1963,3387.0
Annual,December,Live sheep,Thousand heads (animals),Italy,1963,7762.0
Annual,December,Live sheep,Thousand heads (animals),France,1963,8626.0
Annual,December,Live sheep,Thousand heads (animals),Luxembourg,1963,3.0
Annual,December,Live sheep,Thousand heads (animals),Germany (until 1990 former territory of the FRG),1963,898.0
Annual,December,Live sheep,Thousand heads (animals),Greece,1963,8513.0
Annual,December,Live sheep,Thousand heads (animals),Belgium,1964,64.0
Annual,December,Live sheep,Thousand heads (animals),Italy,1964,7866.0
Annual,December,Live sheep,Thousand heads (animals),Greece,1964,8097.0
Annual,December,Live sheep,Thousand heads (animals),France,1964,8821.0
Annual,December,Live sheep,Thousand heads (animals),Germany (until 1990 former territory of the FRG),1964,841.0
Annual,December,Live sheep,Thousand heads (animals),Luxembourg,1964,3.0
Annual,December,Live sheep,Thousand heads (animals),Ireland,1964,3456.0
Annual,December,Live sheep,Thousand heads (animals),Denmark,1964,71.0
Annual,December,Live sheep,Thousand heads (animals),Netherlands,1964,443.0
Annual,December,Live sheep,Thousand heads (animals),Greece,1965,7819.0
Annual,December,Live sheep,Thousand heads (animals),Germany (until 1990 former territory of the FRG),1965,797.0
Annual,December,Live sheep,Thousand heads (animals),France,1965,9056.0
Annual,December,Live sheep,Thousand heads (animals),Netherlands,1965,484.0
Annual,December,Live sheep,Thousand heads (animals),Luxembourg,1965,3.0
Annual,December,Live sheep,Thousand heads (animals),Denmark,1965,93.0
Annual,December,Live sheep,Thousand heads (animals),Ireland,1965,3464.0
Annual,December,Live sheep,Thousand heads (animals),Italy,1965,8000.0
Annual,December,Live sheep,Thousand heads (animals),Belgium,1965,67.0
Annual,December,Live sheep,Thousand heads (animals),Italy,1966,8212.0
Annual,December,Live sheep,Thousand heads (animals),Luxembourg,1966,4.0
Annual,December,Live sheep,Thousand heads (animals),Netherlands,1966,558.0
Annual,December,Live sheep,Thousand heads (animals),France,1966,9186.0
Annual,December,Live sheep,Thousand heads (animals),Belgium,1966,68.0
Annual,December,Live sheep,Thousand heads (animals),Denmark,1966,112.0
Annual,December,Live sheep,Thousand heads (animals),Germany (until 1990 former territory of the FRG),1966,812.0
Annual,December,Live sheep,Thousand heads (animals),Greece,1966,7829.0
Annual,December,Live sheep,Thousand heads (animals),Ireland,1966,3059.0
Annual,December,Live sheep,Thousand heads (animals),Denmark,1967,122.0
Annual,December,Live sheep,Thousand heads (animals),Luxembourg,1967,4.0
Annual,December,Live sheep,Thousand heads (animals),Italy,1967,8285.0
Annual,December,Live sheep,Thousand heads (animals),Greece,1967,7874.0
Annual,December,Live sheep,Thousand heads (animals),Ireland,1967,2990.0
Annual,December,Live sheep,Thousand heads (animals),Germany (until 1990 former territory of the FRG),1967,810.0
Annual,December,Live sheep,Thousand heads (animals),Belgium,1967,65.0
Annual,December,Live sheep,Thousand heads (animals),Netherlands,1967,529.0
Annual,December,Live sheep,Thousand heads (animals),France,1967,9510.0
Annual,December,Live sheep,Thousand heads (animals),Germany (until 1990 former territory of the FRG),1968,830.0
Annual,December,Live sheep,Thousand heads (animals),Luxembourg,1968,5.0
Annual,December,Live sheep,Thousand heads (animals),Denmark,1968,110.0
Annual,December,Live sheep,Thousand heads (animals),Netherlands,1968,552.0
Annual,December,Live sheep,Thousand heads (animals),Ireland,1968,2851.0
Annual,December,Live sheep,Thousand heads (animals),Italy,1968,8206.0
Annual,December,Live sheep,Thousand heads (animals),Greece,1968,7724.0
Annual,December,Live sheep,Thousand heads (animals),Belgium,1968,84.0
Annual,December,Live sheep,Thousand heads (animals),France,1968,9794.0
Annual,December,Live sheep,Thousand heads (animals),United Kingdom,1968,19667.0
Annual,December,Live sheep,Thousand heads (animals),Italy,1969,8138.0
Annual,December,Live sheep,Thousand heads (animals),Ireland,1969,2788.0
Annual,December,Live sheep,Thousand heads (animals),Luxembourg,1969,5.0
Annual,December,Live sheep,Thousand heads (animals),Greece,1969,7680.0
Annual,December,Live sheep,Thousand heads (animals),Denmark,1969,90.0
Annual,December,Live sheep,Thousand heads (animals),Germany (until 1990 former territory of the FRG),1969,841.0
Annual,December,Live sheep,Thousand heads (animals),Belgium,1969,85.0
Annual,December,Live sheep,Thousand heads (animals),France,1969,10037.0
Annual,December,Live sheep,Thousand heads (animals),Netherlands,1969,554.0
Annual,December,Live sheep,Thousand heads (animals),United Kingdom,1969,19157.0
Annual,December,Live sheep,Thousand heads (animals),Luxembourg,1970,5.0
Annual,December,Live sheep,Thousand heads (animals),Netherlands,1970,575.0
Annual,December,Live sheep,Thousand heads (animals),Ireland,1970,2836.0
Annual,December,Live sheep,Thousand heads (animals),Belgium,1970,66.0
Annual,December,Live sheep,Thousand heads (animals),Germany (until 1990 former territory of the FRG),1970,843.0
Annual,December,Live sheep,Thousand heads (animals),Italy,1970,7948.0
Annual,December,Live sheep,Thousand heads (animals),Denmark,1970,70.0
Annual,December,Live sheep,Thousand heads (animals),Greece,1970,7535.0
Annual,December,Live sheep,Thousand heads (animals),France,1970,10065.0
Annual,December,Live sheep,Thousand heads (animals),United Kingdom,1970,18499.0
Annual,December,Live sheep,Thousand heads (animals),Germany (until 1990 former territory of the FRG),1971,850.0
Annual,December,Live sheep,Thousand heads (animals),France,1971,10080.0
Annual,December,Live sheep,Thousand heads (animals),Luxembourg,1971,5.0
Annual,December,Live sheep,Thousand heads (animals),Belgium,1971,66.0
Annual,December,Live sheep,Thousand heads (animals),Ireland,1971,2862.0
Annual,December,Live sheep,Thousand heads (animals),Greece,1971,7686.0
Annual,December,Live sheep,Thousand heads (animals),Netherlands,1971,572.0
Annual,December,Live sheep,Thousand heads (animals),Italy,1971,7846.0
Annual,December,Live sheep,Thousand heads (animals),United Kingdom,1971,18749.0
Annual,December,Live sheep,Thousand heads (animals),Denmark,1971,57.0
Annual,December,Live sheep,Thousand heads (animals),Italy,1972,7770.0
Annual,December,Live sheep,Thousand heads (animals),United Kingdom,1972,19557.0
Annual,December,Live sheep,Thousand heads (animals),Ireland,1972,2873.0
Annual,December,Live sheep,Thousand heads (animals),Denmark,1972,52.0
Annual,December,Live sheep,Thousand heads (animals),Belgium,1972,69.0
Annual,December,Live sheep,Thousand heads (animals),Luxembourg,1972,5.0
Annual,December,Live sheep,Thousand heads (animals),Greece,1972,7906.0
Annual,December,Live sheep,Thousand heads (animals),Netherlands,1972,592.0
Annual,December,Live sheep,Thousand heads (animals),Germany (until 1990 former territory of the FRG),1972,908.0
Annual,December,Live sheep,Thousand heads (animals),France,1972,10442.0
Annual,December,Live sheep,Thousand heads (animals),United Kingdom,1973,20193.0
Annual,December,Live sheep,Thousand heads (animals),Italy,1973,7809.0
Annual,December,Live sheep,Thousand heads (animals),Luxembourg,1973,6.0
Annual,December,Live sheep,Thousand heads (animals),Netherlands,1973,657.0
Annual,December,Live sheep,Thousand heads (animals),Greece,1973,8367.03
Annual,December,Live sheep,Thousand heads (animals),France,1973,10274.0
Annual,December,Live sheep,Thousand heads (animals),Belgium,1973,74.0
Annual,December,Live sheep,Thousand heads (animals),Denmark,1973,56.0
Annual,December,Live sheep,Thousand heads (animals),Germany (until 1990 former territory of the FRG),1973,1016.0
Annual,December,Live sheep,Thousand heads (animals),Ireland,1973,2929.0
Annual,December,Live sheep,Thousand heads (animals),France,1974,10568.0
Annual,December,Live sheep,Thousand heads (animals),Italy,1974,7995.0
Annual,December,Live sheep,Thousand heads (animals),Luxembourg,1974,5.0
Annual,December,Live sheep,Thousand heads (animals),Denmark,1974,59.0
Annual,December,Live sheep,Thousand heads (animals),Ireland,1974,2839.0
Annual,December,Live sheep,Thousand heads (animals),Netherlands,1974,749.0
Annual,December,Live sheep,Thousand heads (animals),Belgium,1974,81.0
Annual,December,Live sheep,Thousand heads (animals),United Kingdom,1974,20187.0
Annual,December,Live sheep,Thousand heads (animals),Germany (until 1990 former territory of the FRG),1974,1040.0
Annual,December,Live sheep,Thousand heads (animals),Greece,1974,8273.93
Annual,December,Live sheep,Thousand heads (animals),Italy,1975,8152.0
Annual,December,Live sheep,Thousand heads (animals),Belgium,1975,83.0
Annual,December,Live sheep,Thousand heads (animals),Netherlands,1975,760.0
Annual,December,Live sheep,Thousand heads (animals),Denmark,1975,61.0
Annual,December,Live sheep,Thousand heads (animals),France,1975,10803.0
Annual,December,Live sheep,Thousand heads (animals),United Kingdom,1975,19526.0
Annual,December,Live sheep,Thousand heads (animals),Ireland,1975,2653.0
Annual,December,Live sheep,Thousand heads (animals),Germany (until 1990 former territory of the FRG),1975,1087.0
Annual,December,Live sheep,Thousand heads (animals),Greece,1975,8360.57
Annual,December,Live sheep,Thousand heads (animals),Luxembourg,1975,5.0
Annual,December,Live sheep,Thousand heads (animals),Greece,1976,8299.5
Annual,December,Live sheep,Thousand heads (animals),Netherlands,1976,780.0
Annual,December,Live sheep,Thousand heads (animals),Luxembourg,1976,5.0
Annual,December,Live sheep,Thousand heads (animals),Denmark,1976,59.0
Annual,December,Live sheep,Thousand heads (animals),Belgium,1976,82.0
Annual,December,Live sheep,Thousand heads (animals),United Kingdom,1976,19880.0
Annual,December,Live sheep,Thousand heads (animals),Italy,1976,8445.0
Annual,December,Live sheep,Thousand heads (animals),France,1976,11046.0
Annual,December,Live sheep,Thousand heads (animals),Germany (until 1990 former territory of the FRG),1976,1091.0
Annual,December,Live sheep,Thousand heads (animals),Ireland,1976,2582.0
Annual,December,Live sheep,Thousand heads (animals),Belgium,1977,84.0
Annual,December,Live sheep,Thousand heads (animals),Italy,1977,8694.0
Annual,December,Live sheep,Thousand heads (animals),Germany (until 1990 former territory of the FRG),1977,1135.0
Annual,December,Live sheep,Thousand heads (animals),Greece,1977,8075.49
Annual,December,Live sheep,Thousand heads (animals),Netherlands,1977,800.0
Annual,December,Live sheep,Thousand heads (animals),Luxembourg,1977,4.0
Annual,December,Live sheep,Thousand heads (animals),Denmark,1977,56.0
Annual,December,Live sheep,Thousand heads (animals),France,1977,11415.0
Annual,December,Live sheep,Thousand heads (animals),Ireland,1977,2526.0
Annual,December,Live sheep,Thousand heads (animals),United Kingdom,1977,20504.0
Annual,December,Live sheep,Thousand heads (animals),Belgium,1978,91.0
Annual,December,Live sheep,Thousand heads (animals),United Kingdom,1978,21714.99
Annual,December,Live sheep,Thousand heads (animals),Ireland,1978,2417.8
Annual,December,Live sheep,Thousand heads (animals),France,1978,11642.0
Annual,December,Live sheep,Thousand heads (animals),Italy,1978,8973.3
Annual,December,Live sheep,Thousand heads (animals),Germany (until 1990 former territory of the FRG),1978,1136.0
Annual,December,Live sheep,Thousand heads (animals),Greece,1978,8029.48
Annual,December,Live sheep,Thousand heads (animals),Luxembourg,1978,5.0
Annual,December,Live sheep,Thousand heads (animals),Denmark,1978,56.0
Annual,December,Live sheep,Thousand heads (animals),Netherlands,1978,841.0
Annual,December,Live sheep,Thousand heads (animals),Netherlands,1979,895.0
Annual,December,Live sheep,Thousand heads (animals),Luxembourg,1979,5.0
Annual,December,Live sheep,Thousand heads (animals),Italy,1979,9110.0
Annual,December,Live sheep,Thousand heads (animals),France,1979,12969.0
Annual,December,Live sheep,Thousand heads (animals),Belgium,1979,84.1
Annual,December,Live sheep,Thousand heads (animals),Ireland,1979,2359.6
Annual,December,Ewes and ewe-lambs put to the ram,Thousand heads (animals),France,1979,9157.0
Annual,December,Live sheep,Thousand heads (animals),United Kingdom,1979,21608.99
Annual,December,Live sheep,Thousand heads (animals),Germany (until 1990 former territory of the FRG),1979,1145.0
Annual,December,Live sheep,Thousand heads (animals),Greece,1979,8042.54
Annual,December,Live sheep,Thousand heads (animals),Denmark,1979,54.0
Annual,December,Live sheep,Thousand heads (animals),United Kingdom,1980,21604.0
Annual,December,Live sheep,Thousand heads (animals),Ireland,1980,2343.6
Annual,December,Ewes and ewe-lambs put to the ram,Thousand heads (animals),Netherlands,1980,750.0
Annual,December,Ewes and ewe-lambs put to the ram,Thousand heads (animals),Ireland,1980,1607.0
Annual,December,Ewes and ewe-lambs put to the ram,Thousand heads (animals),Denmark,1980,25.0
Annual,December,Live sheep,Thousand heads (animals),Greece,1980,8048.43
Annual,December,Live sheep,Thousand heads (animals),Netherlands,1980,1000.0
Annual,December,Live sheep,Thousand heads (animals),France,1980,12846.0
Annual,December,Live sheep,Thousand heads (animals),Italy,1980,9277.0
Annual,December,Live sheep,Thousand heads (animals),Belgium,1980,86.0
Annual,December,Live sheep,Thousand heads (animals),Denmark,1980,56.0
Annual,December,Live sheep,Thousand heads (animals),Germany (until 1990 former territory of the FRG),1980,1179.0
Annual,December,Live sheep,Thousand heads (animals),Luxembourg,1980,4.0
Annual,December,Ewes and ewe-lambs put to the ram,Thousand heads (animals),France,1980,9185.0
Annual,December,Ewes and ewe-lambs put to the ram,Thousand heads (animals),Belgium,1981,55.0
Annual,December,Live sheep,Thousand heads (animals),Denmark,1981,36.0
Annual,December,Live sheep,Thousand heads (animals),Ireland,1981,2449.3
Annual,December,Live sheep,Thousand heads (animals),United Kingdom,1981,22311.05
Annual,December,Live sheep,Thousand heads (animals),France,1981,13525.0
Annual,December,Live sheep,Thousand heads (animals),Luxembourg,1981,4.0
Annual,December,Live sheep,Thousand heads (animals),Spain,1981,14678.0
Annual,December,Ewes and ewe-lambs put to the ram,Thousand heads (animals),France,1981,9737.0
Annual,December,Ewes and ewe-lambs put to the ram,Thousand heads (animals),Spain,1981,10187.0
Annual,December,Other sheep,Thousand heads (animals),United Kingdom,1981,6877.43
Annual,December,Live sheep,Thousand heads (animals),Germany (until 1990 former territory of the FRG),1981,1108.0
Annual,December,Live sheep,Thousand heads (animals),Belgium,1981,79.0
Annual,December,Live sheep,Thousand heads (animals),Italy,1981,10659.0
Annual,December,Live sheep,Thousand heads (animals),Netherlands,1981,815.0
Annual,December,Ewes and ewe-lambs put to the ram,Thousand heads (animals),Italy,1981,8068.0
Annual,December,Ewes and ewe-lambs put to the ram,Thousand heads (animals),Netherlands,1981,610.0
Annual,December,Ewes and ewe-lambs put to the ram,Thousand heads (animals),Denmark,1981,25.0
Annual,December,Ewes and ewe-lambs put to the ram,Thousand heads (animals),Greece,1981,6699.0
Annual,December,Ewes and ewe-lambs put to the ram,Thousand heads (animals),Luxembourg,1981,0.0
Annual,December,Ewes and ewe-lambs put to the ram,Thousand heads (animals),United Kingdom,1981,15433.62
Annual,December,Live sheep,Thousand heads (animals),Greece,1981,8143.7
Annual,December,Ewes and ewe-lambs put to the ram,Thousand heads (animals),Germany (until 1990 former territory of the FRG),1981,759.0
Annual,December,Ewes and ewe-lambs put to the ram,Thousand heads (animals),Ireland,1981,1689.7
Annual,December,Ewes and ewe-lambs put to the ram,Thousand heads (animals),Luxembourg,1982,3.0
Annual,December,Live sheep,Thousand heads (animals),Ireland,1982,2608.5
Annual,December,Live sheep,Thousand heads (animals),Denmark,1982,37.0
Annual,December,Ewes and ewe-lambs put to the ram,Thousand heads (animals),United Kingdom,1982,15970.23
Annual,December,Live sheep,Thousand heads (animals),United Kingdom,1982,23050.19
Annual,December,Live sheep,Thousand heads (animals),Spain,1982,16456.0
Annual,December,Live sheep,Thousand heads (animals),Netherlands,1982,915.0
Annual,December,Live sheep,Thousand heads (animals),Luxembourg,1982,4.0
Annual,December,Other sheep,Thousand heads (animals),United Kingdom,1982,7079.96
Annual,December,Ewes and ewe-lambs put to the ram,Thousand heads (animals),Denmark,1982,27.0
Annual,December,Live sheep,Thousand heads (animals),Belgium,1982,83.0
Annual,December,Live sheep,Thousand heads (animals),Greece,1982,9830.42
Annual,December,Ewes and ewe-lambs put to the ram,Thousand heads (animals),Belgium,1982,54.0
Annual,December,Ewes and ewe-lambs put to the ram,Thousand heads (animals),Spain,1982,11377.0
Annual,December,Ewes and ewe-lambs put to the ram,Thousand heads (animals),Italy,1982,8031.0
Annual,December,Live sheep,Thousand heads (animals),Italy,1982,10493.0
Annual,December,Ewes and ewe-lambs put to the ram,Thousand heads (animals),Netherlands,1982,690.0
Annual,December,Ewes and ewe-lambs put to the ram,Thousand heads (animals),Greece,1982,6713.0
Annual,December,Live sheep,Thousand heads (animals),Germany (until 1990 former territory of the FRG),1982,1172.0
Annual,December,Ewes and ewe-lambs put to the ram,Thousand heads (animals),France,1982,9249.0
Annual,December,Ewes and ewe-lambs put to the ram,Thousand heads (animals),Ireland,1982,1826.3
Annual,December,Ewes and ewe-lambs put to the ram,Thousand heads (animals),Germany (until 1990 former territory of the FRG),1982,804.0
Annual,December,Live sheep,Thousand heads (animals),France,1982,12926.0
Annual,December,Live sheep,Thousand heads (animals),Greece,1983,9962.19
Annual,December,Ewes and ewe-lambs put to the ram,Thousand heads (animals),Denmark,1983,29.0
Annual,December,Ewes and ewe-lambs put to the ram,Thousand heads (animals),France,1983,9120.0
Annual,December,Ewes and ewe-lambs put to the ram,Thousand heads (animals),United Kingdom,1983,16349.16
Annual,December,Ewes and ewe-lambs put to the ram,Thousand heads (animals),Luxembourg,1983,2.51
Annual,December,Ewes and ewe-lambs put to the ram,Thousand heads (animals),Belgium,1983,64.0
Annual,December,Ewes and ewe-lambs put to the ram,Thousand heads (animals),Italy,1983,8302.0
Annual,December,Live sheep,Thousand heads (animals),Spain,1983,16755.0
Annual,December,Live sheep,Thousand heads (animals),Germany (until 1990 former territory of the FRG),1983,1217.82
Annual,December,Live sheep,Thousand heads (animals),United Kingdom,1983,23408.09
Annual,December,Ewes and ewe-lambs put to the ram,Thousand heads (animals),Germany (until 1990 former territory of the FRG),1983,828.0
Annual,December,Ewes and ewe-lambs put to the ram,Thousand heads (animals),Spain,1983,11972.0
