area,Item Code,Item Code (CPC),species,table_name,year,source,value,flag
Australia,946,'02112,Buffalo,Stocks,1990,UNFCCC,13399.0,A
Australia,946,'02112,Buffalo,Stocks,1991,UNFCCC,18623.0,A
Australia,946,'02112,Buffalo,Stocks,1992,UNFCCC,12992.0,A
Australia,946,'02112,Buffalo,Stocks,1993,UNFCCC,11372.0,A
Australia,946,'02112,Buffalo,Stocks,1994,UNFCCC,11563.0,A
Australia,946,'02112,Buffalo,Stocks,1995,UNFCCC,10880.0,A
Australia,946,'02112,Buffalo,Stocks,1996,UNFCCC,8850.0,A
Australia,946,'02112,Buffalo,Stocks,1997,UNFCCC,9440.0,A
Australia,946,'02112,Buffalo,Stocks,1998,UNFCCC,11248.0,A
Australia,946,'02112,Buffalo,Stocks,1999,UNFCCC,8520.0,A
Australia,946,'02112,Buffalo,Stocks,2000,UNFCCC,6130.0,A
Australia,946,'02112,Buffalo,Stocks,2001,UNFCCC,7327.0,A
Australia,946,'02112,Buffalo,Stocks,2002,UNFCCC,13609.0,A
Australia,946,'02112,Buffalo,Stocks,2003,UNFCCC,8598.0,A
Australia,946,'02112,Buffalo,Stocks,2004,UNFCCC,8359.0,A
Australia,946,'02112,Buffalo,Stocks,2005,UNFCCC,6207.0,A
Australia,946,'02112,Buffalo,Stocks,2006,UNFCCC,3247.0,A
Australia,946,'02112,Buffalo,Stocks,2007,UNFCCC,2655.0,A
Australia,946,'02112,Buffalo,Stocks,2008,UNFCCC,3262.0,A
Australia,946,'02112,Buffalo,Stocks,2009,UNFCCC,8550.0,A
Australia,946,'02112,Buffalo,Stocks,2010,UNFCCC,6479.0,A
Australia,946,'02112,Buffalo,Stocks,2011,UNFCCC,4414.0,A
Australia,946,'02112,Buffalo,Stocks,2012,UNFCCC,5089.0,A
Australia,946,'02112,Buffalo,Stocks,2013,UNFCCC,5089.0,A
Australia,946,'02112,Buffalo,Stocks,2014,UNFCCC,5089.0,A
Australia,946,'02112,Buffalo,Stocks,2015,UNFCCC,5089.0,A
Australia,946,'02112,Buffalo,Stocks,2016,UNFCCC,5152.0,A
Australia,946,'02112,Buffalo,Stocks,2017,UNFCCC,5152.0,A
Australia,946,'02112,Buffalo,Stocks,2018,UNFCCC,5152.0,A
