species,area,year,table_name
Chicks of Guinea fowls (fattening),Austria,"[1995, 1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003, 2008, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",apro_ec_poula
Chicks of Guinea fowls (fattening),Belgium,"[1973, 1974, 1975, 1976, 1977, 1978, 1979, 1980, 1981, 1982, 1983, 1984, 1985, 1986, 1987, 1988, 1989, 1990, 1991, 1992, 1993, 1994, 1995, 1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020]",apro_ec_poula
Chicks of Guinea fowls (fattening),Bosnia and Herzegovina,"[2014, 2015, 2017, 2018, 2019, 2020]",apro_ec_poula
Chicks of Guinea fowls (fattening),Bulgaria,"[2006, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",apro_ec_poula
Chicks of Guinea fowls (fattening),Croatia,"[2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022]",apro_ec_poula
Chicks of Guinea fowls (fattening),Cyprus,"[2001, 2002, 2003, 2007, 2008, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",apro_ec_poula
Chicks of Guinea fowls (fattening),Czechia,"[2007, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",apro_ec_poula
Chicks of Guinea fowls (fattening),Denmark,"[1973, 1974, 1975, 1976, 1977, 1978, 1979, 1980, 1981, 1982, 1983, 1984, 1985, 1986, 1987, 1988, 1989, 1990, 1991, 1992, 1993, 1994, 1995, 1997, 1998, 1999, 2000, 2001, 2002, 2003, 2006, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",apro_ec_poula
Chicks of Guinea fowls (fattening),Estonia,"[2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",apro_ec_poula
Chicks of Guinea fowls (fattening),Finland,"[1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",apro_ec_poula
Chicks of Guinea fowls (fattening),France,"[1970, 1971, 1972, 1973, 1974, 1975, 1976, 1977, 1978, 1979, 1980, 1981, 1982, 1983, 1984, 1985, 1986, 1987, 1988, 1989, 1990, 1991, 1992, 1993, 1994, 1995, 1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",apro_ec_poula
Chicks of Guinea fowls (fattening),Germany (until 1990 former territory of the FRG),"[1973, 1974, 1975, 1976, 1977, 1978, 1979, 1980, 1981, 1982, 1983, 1984, 1985, 1986, 1987, 1989, 1990, 1991, 1997, 2000, 2001, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020]",apro_ec_poula
Chicks of Guinea fowls (fattening),Greece,"[1981, 1982, 1983, 1984, 1985, 1986, 1987, 1988, 1989, 1990, 1991, 1992, 1994, 1995, 1996, 1997, 1998, 1999, 2000, 2002, 2003, 2004, 2005, 2006, 2012, 2020, 2021]",apro_ec_poula
Chicks of Guinea fowls (fattening),Hungary,"[2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",apro_ec_poula
Chicks of Guinea fowls (fattening),Iceland,"[2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020]",apro_ec_poula
Chicks of Guinea fowls (fattening),Ireland,"[1973, 1974, 1975, 1976, 1977, 1978, 1979, 1980, 1981, 1982, 1983, 1984, 1985, 1986, 1987, 1988, 1989, 1990, 1991, 1992, 1993, 1994, 1995, 1996, 1997, 1998, 1999, 2000, 2001, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",apro_ec_poula
Chicks of Guinea fowls (fattening),Italy,"[1967, 1968, 1969, 1970, 1971, 1972, 1973, 1974, 1975, 1976, 1977, 1978, 1979, 1980, 1981, 1982, 1983, 1984, 1985, 1986, 1987, 1988, 1989, 1990, 1991, 1992, 1993, 1994, 1995, 1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",apro_ec_poula
Chicks of Guinea fowls (fattening),Latvia,"[2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",apro_ec_poula
Chicks of Guinea fowls (fattening),Lithuania,"[2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",apro_ec_poula
Chicks of Guinea fowls (fattening),Luxembourg,"[1973, 1974, 1975, 1976, 1977, 1978, 1979, 1980, 1981, 1982, 1983, 1984, 1985, 1986, 1987, 1988, 1989, 1990, 1991, 1992, 1993, 1994, 1995, 1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020]",apro_ec_poula
Chicks of Guinea fowls (fattening),Malta,"[2005, 2007, 2008, 2009, 2010, 2011, 2014, 2015, 2020, 2021]",apro_ec_poula
