species,area,year,table_name
"Live asses, mules and hinnies",Belgium,"[1963, 1964, 1965, 1966, 1967, 1968, 1969, 1970, 1971, 1972, 1973, 1974, 1975, 1976, 1977, 1978, 1979, 1980, 1981, 1982, 1983, 1984, 1985, 1986, 1987, 1988, 1989, 1990, 1991, 1992]",apro_mt_lsequi
"Live asses, mules and hinnies",Denmark,"[1963, 1964, 1965, 1966, 1967, 1968, 1969, 1970, 1971, 1972, 1973, 1974, 1975, 1976, 1977, 1978, 1979, 1980, 1981, 1982, 1983, 1984, 1985, 1986, 1987, 1988, 1989, 1990]",apro_mt_lsequi
"Live asses, mules and hinnies",European Community - 10 countries (1981-1985),"[1970, 1971, 1972, 1973, 1974, 1975, 1976, 1977, 1978, 1979, 1980, 1981, 1982, 1983, 1984, 1985, 1986, 1987, 1988, 1989, 1990]",apro_mt_lsequi
"Live asses, mules and hinnies",European Community - 12 countries (1986-1994),[1990],apro_mt_lsequi
"Live asses, mules and hinnies",European Community - 9 countries (1973-1980),"[1970, 1971, 1972, 1973, 1974, 1975, 1976, 1977, 1978, 1979, 1980, 1981, 1982, 1983, 1984, 1985, 1986, 1987, 1988, 1989, 1990]",apro_mt_lsequi
"Live asses, mules and hinnies",Federal Republic of Germany (former territory of the FRG only),"[1963, 1964, 1965, 1966, 1967, 1968, 1969, 1970, 1971, 1972, 1973, 1974, 1975, 1976, 1977, 1978, 1979, 1980, 1981, 1982, 1983, 1984, 1985, 1986, 1987, 1988, 1989, 1990]",apro_mt_lsequi
"Live asses, mules and hinnies",France,"[1960, 1961, 1962, 1963, 1964, 1965, 1966, 1967, 1968, 1969, 1970, 1971, 1972, 1973, 1974, 1975, 1976, 1977, 1978, 1979, 1980, 1981, 1982, 1983, 1984, 1985, 1986, 1987, 1988, 1989, 1990, 1991]",apro_mt_lsequi
"Live asses, mules and hinnies",Germany (until 1990 former territory of the FRG),"[1990, 1991, 1992, 1993, 1994, 1995, 1996]",apro_mt_lsequi
"Live asses, mules and hinnies",Greece,"[1965, 1966, 1967, 1968, 1969, 1970, 1971, 1972, 1973, 1974, 1975, 1976, 1977, 1978, 1979, 1980, 1981, 1982, 1983, 1984, 1985, 1986, 1987, 1988, 1989, 1990]",apro_mt_lsequi
"Live asses, mules and hinnies",Ireland,"[1970, 1971, 1972, 1973, 1974, 1975, 1976, 1977, 1978, 1979, 1980, 1981, 1982, 1983, 1984, 1985, 1986, 1987, 1988, 1989, 1990]",apro_mt_lsequi
