species,area,year,table_name
Ewes and ewe-lambs put to the ram,Albania,"[2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",apro_mt_lssheep
Ewes and ewe-lambs put to the ram,Austria,"[1991, 1992, 1993, 1994, 1995, 1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",apro_mt_lssheep
Ewes and ewe-lambs put to the ram,Belgium,"[1981, 1982, 1983, 1984, 1985, 1986, 1987, 1988, 1989, 1990, 1991, 1992, 1993, 1994, 1995, 1998, 1999, 2000, 2003, 2009, 2010, 2012, 2013, 2016]",apro_mt_lssheep
Ewes and ewe-lambs put to the ram,Bosnia and Herzegovina,"[2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020]",apro_mt_lssheep
Ewes and ewe-lambs put to the ram,Bulgaria,"[1987, 1988, 1989, 1990, 1991, 1992, 1993, 1994, 1995, 1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",apro_mt_lssheep
Ewes and ewe-lambs put to the ram,Croatia,"[2000, 2001, 2002, 2003, 2004, 2005, 2006, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",apro_mt_lssheep
Ewes and ewe-lambs put to the ram,Cyprus,"[1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020]",apro_mt_lssheep
Ewes and ewe-lambs put to the ram,Czechia,"[1987, 1988, 1989, 1990, 1991, 1992, 1993, 1994, 1995, 1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009]",apro_mt_lssheep
Ewes and ewe-lambs put to the ram,Denmark,"[1980, 1981, 1982, 1983, 1984, 1985, 1986, 1987, 1988, 1989, 1990, 1991, 1992, 1993, 1994, 1995, 1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008]",apro_mt_lssheep
Ewes and ewe-lambs put to the ram,Estonia,"[1999, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008]",apro_mt_lssheep
Ewes and ewe-lambs put to the ram,European Union - 15 countries (1995-2004),"[1991, 1992, 1993, 1994, 1995, 1998, 1999, 2000]",apro_mt_lssheep
Ewes and ewe-lambs put to the ram,Finland,"[1991, 1992, 1993, 1994, 1995, 1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008]",apro_mt_lssheep
Ewes and ewe-lambs put to the ram,France,"[1979, 1980, 1981, 1982, 1983, 1984, 1985, 1986, 1987, 1988, 1989, 1990, 1991, 1992, 1993, 1994, 1995, 1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",apro_mt_lssheep
Ewes and ewe-lambs put to the ram,Germany (until 1990 former territory of the FRG),"[1981, 1982, 1983, 1984, 1985, 1986, 1987, 1988, 1989, 1990, 1991, 1992, 1993, 1994, 1995, 1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",apro_mt_lssheep
Ewes and ewe-lambs put to the ram,Greece,"[1981, 1982, 1983, 1984, 1985, 1986, 1987, 1988, 1989, 1990, 1991, 1992, 1993, 1994, 1995, 1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",apro_mt_lssheep
