species,area,year,table_name
Goats having already kidded,Albania,"[2015, 2016, 2017, 2018, 2019, 2020, 2021]",apro_mt_lsgoat
Goats having already kidded,Austria,[2006],apro_mt_lsgoat
Goats having already kidded,Belgium,"[2009, 2010, 2013]",apro_mt_lsgoat
Goats having already kidded,Bosnia and Herzegovina,"[2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020]",apro_mt_lsgoat
Goats having already kidded,Bulgaria,"[1987, 1988, 1989, 1990, 1991, 1992, 1993, 1994, 1995, 1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",apro_mt_lsgoat
Goats having already kidded,Croatia,"[2000, 2001, 2002, 2003, 2004, 2005, 2006, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",apro_mt_lsgoat
Goats having already kidded,Cyprus,"[2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020]",apro_mt_lsgoat
Goats having already kidded,Czechia,"[2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009]",apro_mt_lsgoat
Goats having already kidded,Finland,"[1995, 1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2008]",apro_mt_lsgoat
Goats having already kidded,France,"[1993, 1994, 1995, 1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",apro_mt_lsgoat
Goats having already kidded,Greece,"[1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",apro_mt_lsgoat
Goats having already kidded,Hungary,"[2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",apro_mt_lsgoat
Goats having already kidded,Iceland,"[2011, 2012, 2013, 2016, 2017, 2018, 2019, 2020, 2021]",apro_mt_lsgoat
Goats having already kidded,Ireland,"[2009, 2010, 2013, 2014]",apro_mt_lsgoat
Goats having already kidded,Italy,"[1991, 1992, 1993, 1994, 1995, 1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",apro_mt_lsgoat
Goats having already kidded,Kosovo (under United Nations Security Council Resolution 1244/99),"[2015, 2016, 2017, 2018, 2019, 2020, 2021]",apro_mt_lsgoat
Goats having already kidded,Lithuania,"[2007, 2008, 2013, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",apro_mt_lsgoat
Goats having already kidded,Malta,"[2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",apro_mt_lsgoat
Goats having already kidded,Montenegro,"[2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019]",apro_mt_lsgoat
Goats having already kidded,Netherlands,"[2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",apro_mt_lsgoat
Goats having already kidded,North Macedonia,"[2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",apro_mt_lsgoat
Goats having already kidded,Poland,"[2002, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012]",apro_mt_lsgoat
Goats having already kidded,Portugal,"[1994, 1995, 1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",apro_mt_lsgoat
Goats having already kidded,Romania,"[1987, 1988, 1989, 1990, 1991, 1992, 1993, 1994, 1995, 1996, 1997, 1998, 1999, 2000, 2001, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",apro_mt_lsgoat
Goats having already kidded,Serbia,"[2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",apro_mt_lsgoat
Goats having already kidded,Slovakia,"[1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019]",apro_mt_lsgoat
Goats having already kidded,Slovenia,"[1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009]",apro_mt_lsgoat
Goats having already kidded,Spain,"[1992, 1993, 1994, 1995, 1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",apro_mt_lsgoat
Goats having already kidded,Sweden,"[2008, 2009, 2010, 2011, 2012, 2013, 2014]",apro_mt_lsgoat
Goats having already kidded,Turkey,"[2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",apro_mt_lsgoat
Goats having already kidded,United Kingdom,"[2008, 2009, 2010, 2011, 2012, 2013]",apro_mt_lsgoat
Goats mated and having already kidded,Albania,"[2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",apro_mt_lsgoat
Goats mated and having already kidded,Austria,"[1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",apro_mt_lsgoat
Goats mated and having already kidded,Belgium,"[1981, 1982, 1983, 1984, 1985, 1986, 1987, 1988, 1989, 1990, 2000, 2003, 2009, 2010, 2013, 2016]",apro_mt_lsgoat
Goats mated and having already kidded,Bosnia and Herzegovina,"[2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020]",apro_mt_lsgoat
Goats mated and having already kidded,Bulgaria,"[1987, 1994, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",apro_mt_lsgoat
Goats mated and having already kidded,Croatia,"[2000, 2001, 2002, 2003, 2004, 2005, 2006, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",apro_mt_lsgoat
Goats mated and having already kidded,Cyprus,"[1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020]",apro_mt_lsgoat
Goats mated and having already kidded,Czechia,"[1987, 1988, 1989, 1990, 1991, 1992, 1993, 1994, 1995, 1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2009]",apro_mt_lsgoat
Goats mated and having already kidded,Denmark,"[1981, 1982, 1983, 1984, 1985, 1986, 1987, 1988, 1989, 1990]",apro_mt_lsgoat
Goats mated and having already kidded,Estonia,"[1999, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008]",apro_mt_lsgoat
Goats mated and having already kidded,Finland,"[1995, 1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008]",apro_mt_lsgoat
Goats mated and having already kidded,France,"[1981, 1982, 1983, 1984, 1985, 1986, 1987, 1988, 1989, 1990, 1991, 1992, 1993, 1994, 1995, 1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",apro_mt_lsgoat
Goats mated and having already kidded,Germany (until 1990 former territory of the FRG),"[1981, 1982, 1983, 1984, 1985, 1986, 1987, 1988, 1989, 1990]",apro_mt_lsgoat
Goats mated and having already kidded,Greece,"[1981, 1982, 1983, 1984, 1985, 1986, 1987, 1988, 1989, 1990, 1991, 1992, 1993, 1994, 1995, 1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",apro_mt_lsgoat
