species,year,table_name
Adult beef cattle,"[2017, 2018, 2019]",WOAHpopulation
Adult dairy cattle,"[2017, 2018, 2019]",WOAHpopulation
Adult goats,"[2017, 2018, 2019]",WOAHpopulation
Adult pigs,"[2017, 2018, 2019]",WOAHpopulation
Adult sheep,"[2017, 2018, 2019]",WOAHpopulation
Backyard pigs,"[2015, 2016, 2017, 2018, 2019]",WOAHpopulation
Backyard poultry,"[2015, 2016, 2017, 2018, 2019]",WOAHpopulation
Bees,"[2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019]",WOAHpopulation
Birds,"[2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019]",WOAHpopulation
Broilers,"[2015, 2016, 2017, 2018, 2019]",WOAHpopulation
Buffaloes,"[2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019]",WOAHpopulation
Calves,"[2017, 2018, 2019]",WOAHpopulation
Camelidae,"[2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019]",WOAHpopulation
Cats,"[2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019]",WOAHpopulation
Cattle,"[2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019]",WOAHpopulation
Cervidae,"[2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019]",WOAHpopulation
Commercial pigs,"[2015, 2016, 2017]",WOAHpopulation
Dogs,"[2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019]",WOAHpopulation
Domestic horses,"[2017, 2018, 2019]",WOAHpopulation
Donkeys/ Mules/ Hinnies,"[2017, 2018, 2019]",WOAHpopulation
Equidae,"[2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019]",WOAHpopulation
Fattening pigs,"[2017, 2018, 2019]",WOAHpopulation
Goats,"[2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019]",WOAHpopulation
Hares,"[2017, 2018, 2019]",WOAHpopulation
Hares / rabbits,"[2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019]",WOAHpopulation
Kids,"[2017, 2018, 2019]",WOAHpopulation
Lambs,"[2017, 2018, 2019]",WOAHpopulation
Layers,"[2015, 2016, 2017, 2018, 2019]",WOAHpopulation
Male and female cattle,"[2017, 2018, 2019]",WOAHpopulation
Other commercial poultry,"[2015, 2016, 2017, 2018, 2019]",WOAHpopulation
Other species,"[2008, 2009, 2010, 2011]",WOAHpopulation
Piglets,"[2017, 2018, 2019]",WOAHpopulation
Rabbits,"[2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019]",WOAHpopulation
Sheep,"[2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019]",WOAHpopulation
Sheep / goats,"[2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019]",WOAHpopulation
Swine,"[2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019]",WOAHpopulation
Turkeys,"[2017, 2018, 2019]",WOAHpopulation
